factor,quantile,horizon_days,observations,avg_forward_return,median_forward_return,win_rate,max_drawdown,avg_excess_return
atr_pct,1,5,12346,0.004418006733178884,0.0039554854331961264,0.5472217722339219,-0.9963422622562775,0.0006254577193155683
atr_pct,2,5,11761,0.007716234497440919,0.006209085842766582,0.5478275656831902,-0.9957623303976483,0.0039049537635824556
atr_pct,3,5,12293,0.007580724748894416,0.006377819055993106,0.5386805499064509,-0.9997984025039888,0.0037852492923950505
atr_pct,4,5,11761,0.009489067549570858,0.003275592650104686,0.5159425218943967,-0.9999961611354472,0.005677786815712394
atr_pct,5,5,12306,0.01235737987904967,-0.0012259803201319919,0.4929302779132131,-0.9999999964930228,0.008549601184645634
atr_pct,1,10,12246,0.008623732462561406,0.00715795732259239,0.5566715662257063,-0.999845492720712,0.0009573728851362123
atr_pct,2,10,11666,0.01557290071693938,0.011850684799570743,0.5610320589747986,-0.9999803609280861,0.007870155103623466
atr_pct,3,10,12193,0.017909368391649222,0.011783083570380048,0.545394898712376,-0.9999776575479961,0.010231450064402514
atr_pct,4,10,11666,0.018257988567254704,0.006629898642896204,0.5233156180353163,-0.9999999986180004,0.010555242953938788
atr_pct,5,10,12206,0.02377705023846125,0.0,0.4988530231033918,-0.9999999999999997,0.016079286456834502
atr_pct,1,20,12046,0.01646601684067232,0.014096507439070538,0.5691515855885771,-0.9999999936398388,0.001168372563753968
atr_pct,2,20,11475,0.030417150072199042,0.02145719867012308,0.5786492374727669,-0.9999999633684286,0.015050990825056306
atr_pct,3,20,11994,0.036274668754236426,0.023420626162370284,0.564365516091379,-0.9999999916909422,0.020965701804364734
atr_pct,4,20,11476,0.041012335750131655,0.012021702636616172,0.5294527710003486,-0.9999999999999968,0.02564929861277686
atr_pct,5,20,12006,0.05040197990603395,-0.002418215272632085,0.4954189571880726,-1.0,0.035055364828086244
distance_to_52w_high_eod,1,5,12306,0.007705520212160069,-0.002067775868048849,0.4871607346010076,-0.9999999757401764,0.003897741517756034
distance_to_52w_high_eod,2,5,11761,0.004784165280181267,0.0,0.4986820848567299,-0.9999998890799306,0.0009728845463228029
distance_to_52w_high_eod,3,5,12254,0.00835678601174217,0.004668380055727117,0.5335400685490452,-0.9996441066482118,0.004580239801310373
distance_to_52w_high_eod,4,5,11760,0.009999797929153249,0.006891943088083052,0.5547619047619048,-0.9910067371907149,0.006187805854756995
distance_to_52w_high_eod,5,5,12266,0.010447963105371714,0.007430978992031934,0.5675036686776456,-0.9958681142759804,0.0066631554129248215
distance_to_52w_high_eod,1,10,12206,0.01544482782772712,-0.0007981536877346151,0.49467475012289036,-0.9999999999999976,0.007747064046100368
distance_to_52w_high_eod,2,10,11666,0.009549486302489644,0.00031787909899838596,0.5005143151037202,-0.9999999999999271,0.0018467406891737302
distance_to_52w_high_eod,3,10,12154,0.017112628293250137,0.007422631238141575,0.5333223630080632,-0.999999330105137,0.009471833082064661
distance_to_52w_high_eod,4,10,11665,0.020868614635835458,0.012947454288821492,0.5647663951993142,-0.9996140874979768,0.013165122012835944
distance_to_52w_high_eod,5,10,12166,0.020817712486364437,0.014922604897069869,0.590826894624363,-0.9999321303163201,0.013162211560924387
distance_to_52w_high_eod,1,20,12006,0.03489200964743066,0.0013615535548489044,0.5015825420623021,-1.0,0.019545394569482955
distance_to_52w_high_eod,2,20,11476,0.02202505285767585,0.0008399529881040202,0.5015684907633322,-0.9999999999999998,0.006662015720321054
distance_to_52w_high_eod,3,20,11954,0.03441533272033172,0.012406653118373856,0.5391500752886064,-0.9999999999981829,0.019168747681696404
distance_to_52w_high_eod,4,20,11476,0.041504039016738964,0.024833210206002376,0.5833042872080865,-0.9999999662057261,0.02614100187938417
distance_to_52w_high_eod,5,20,11965,0.04099134685535802,0.02705231965224475,0.6094442122858337,-0.9999999590694401,0.025718087204285835
distance_to_52w_high_prev,1,5,12305,0.00768721466417461,-0.002057660207223977,0.48720032507110933,-0.9999999778257744,0.0038797724064750603
distance_to_52w_high_prev,2,5,11761,0.004872212326316696,0.0,0.4987671116401666,-0.999999794456263,0.0010609315924582322
distance_to_52w_high_prev,3,5,12253,0.008245625306620761,0.004619228806624687,0.5330123235126092,-0.9996071975936324,0.004468727410326494
distance_to_52w_high_prev,4,5,11760,0.010262694252757608,0.0068553055315553335,0.5552721088435374,-0.9914293891939591,0.006450702178361354
distance_to_52w_high_prev,5,5,12265,0.010234546234220751,0.007505608890449933,0.5674684060334284,-0.9962062102306626,0.006449423941338567
distance_to_52w_high_prev,1,10,12205,0.015401949468093392,-0.0008524531626378229,0.494387546087669,-0.9999999999999977,0.007704458758599113
distance_to_52w_high_prev,2,10,11666,0.009715239005751181,0.00039752760458966474,0.5008571918395337,-0.9999999999998481,0.0020124933924352668
distance_to_52w_high_prev,3,10,12153,0.016750861656113572,0.007207726397627123,0.5323788365012754,-0.9999992993601732,0.00911106525109721
distance_to_52w_high_prev,4,10,11665,0.020829583317386383,0.01317964401749494,0.5675953707672524,-0.9997039279768722,0.013126090694386871
distance_to_52w_high_prev,5,10,12165,0.021088883775994542,0.014919320415597959,0.5889847924373202,-0.999923078156188,0.013433141252036571
distance_to_52w_high_prev,1,20,12005,0.03483262815906166,0.0011982354568671472,0.5014577259475219,-1.0,0.019489599043071924
distance_to_52w_high_prev,2,20,11476,0.022273068046028542,0.0009272351574206583,0.5020913210177762,-0.9999999999999996,0.006910030908673748
distance_to_52w_high_prev,3,20,11953,0.034067716999988215,0.012243695999319959,0.5384422320756296,-0.9999999999980835,0.01882141437489383
distance_to_52w_high_prev,4,20,11476,0.04086548708447237,0.024316873383079862,0.5843499477169746,-0.9999999692861574,0.025502449947117575
distance_to_52w_high_prev,5,20,11964,0.04174949252278141,0.0272523931748766,0.6087428953527249,-0.9999999314478529,0.026478356419198892
dollar_volume,1,5,12346,0.010446350461461055,0.0012100239078955966,0.5050218694313948,-0.9999999999577782,0.006653801447597742
dollar_volume,2,5,11761,0.007512622158192229,0.004509316199021951,0.5292917268939716,-0.9999992629654546,0.003701341424333767
