replay_date,decision,ticker,reason,reference_price,shares_with_cash,estimated_total_cost,estimated_cash_remaining,cash_before_decision,smoke_score,decision_strength,relative_volume_prev20,return_5d,return_20d,distance_to_52w_high_prev,dollar_volume,executable_universe_count,rejected_before_ranking_count,forward_return_1d,forward_return_3d,forward_return_5d,forward_return_10d,forward_return_20d,trade_simulation_status,entry_date,exit_date,exit_reason,entry_price,exit_price,shares,cash_before,cash_after_exit,pnl_dollars,trade_return_pct,account_return_pct
2024-01-02,HISTORICAL_NO_TRADE,,NO_CANDIDATE_PASSED_RULES,,0,0.0,100.0,100.0,,,,,,,,38,57,,,,,,,,,,,,0,100.0,100.0,,,
2024-01-10,HISTORICAL_BUY_CANDIDATE,SMCI,Candidate 34 Nano rule passed with replay-date $100 whole-share affordability.,34.237998962402344,2,68.54447392272948,31.45552607727052,100.0,0.9631578947368421,0.7915755483931489,1.7083904618541281,0.21999714822010463,0.3054983291972051,-0.04095243051240571,1830157996.536255,38,57,0.00271634798044329,-0.04693610877692367,-0.09036742673158271,0.38904141884726573,1.0386706340054235,EXECUTED,2024-01-11,2024-01-17,STOP,34.48400115966797,31.97032233646938,2,100.0,94.9036743512835,-5.096325648716501,-0.07289405923517234,-0.050963256487165015
2024-01-19,HISTORICAL_BUY_CANDIDATE,SMCI,Candidate 34 Nano rule passed with replay-date $100 whole-share affordability.,42.33599853515625,2,84.7566690673828,10.147005283900697,94.9036743512835,1.0,0.7894736842105265,7.058157076632728,0.2331710976829584,0.34000122552311884,0.18260283214021267,9784907661.437988,38,56,0.030423329051530112,0.11061514158063424,0.11996888123834948,0.36911855765224555,0.8974868554408455,EXECUTED,2024-01-22,2024-01-22,STOP,45.6349983215332,41.53946195329939,2,94.9036743512835,86.62133161817282,-8.282342733110681,-0.08974551372562023,-0.08727104392664296
2024-01-29,HISTORICAL_BUY_CANDIDATE,SMCI,Candidate 34 Nano rule passed with replay-date $100 whole-share affordability.,49.56700134277344,1,49.6165683441162,37.004763274056614,86.62133161817282,0.9405405405405405,0.6567767901825028,1.8731532738046868,0.13623236563869323,0.7007033990136629,-0.002234390633650718,5712646471.755981,37,58,0.03490224333468883,0.17719444173372745,0.33828953310575627,0.5595254989882783,0.7170899541100404,EXECUTED,2024-01-30,2024-02-05,TARGET_1,54.731998443603516,65.61985710689,1,86.62133161817282,97.4544582830157,10.83312666484288,0.1989304058485175,0.12506303542636987
2024-02-06,HISTORICAL_BUY_CANDIDATE,PLTR,Candidate 34 Nano rule passed with replay-date $100 whole-share affordability.,21.8700008392334,4,87.56748336029052,9.886974922725173,97.4544582830157,1.0,0.9122807017543858,8.759267361940353,0.30645168089943,0.3119376568170664,0.0009153527420819874,9196376905.899239,38,57,0.07910377118654788,0.1147690089261646,0.09785090569404153,0.039780470896189524,0.19615906920692594,EXECUTED,2024-02-07,2024-02-08,TARGET_1,21.600000381469727,24.957214627947124,4,97.4544582830157,110.79691526739941,13.342456984383716,0.15542658274013244,0.13690966241519842
2024-02-14,HISTORICAL_BUY_CANDIDATE,HOOD,Candidate 34 Nano rule passed with replay-date $100 whole-share affordability.,13.380000114440918,8,107.14704091644286,3.6498743509565514,110.79691526739941,0.9555555555555555,0.8648148148148147,7.821166090282683,0.2163636467673562,0.2563380839151046,-0.009622510158290187,1021415828.7363052,36,59,0.002989533745209494,0.05306427743454778,0.0440956761989193,0.21898350720783188,0.34902833203860295,EXECUTED,2024-02-15,2024-02-26,TARGET_1,13.399999618530273,15.000714165823801,8,110.79691526739941,123.49543164879941,12.698516381399997,0.11945631290018621,0.11461073939426158
2024-02-26,HISTORICAL_NO_TRADE,,POSITION_OPEN,,0,0.0,123.49543164879941,123.49543164879941,,,,,,,,0,0,,,,,,,,,,,,0,123.49543164879941,123.49543164879941,,,
2024-03-05,HISTORICAL_BUY_CANDIDATE,HPE,Candidate 34 Nano rule passed with replay-date $100 whole-share affordability.,18.100000381469727,6,108.70860229110716,14.786829357692255,123.49543164879941,0.9028571428571428,0.7866666666666666,3.3737145651729548,0.21558092438771892,0.18455501948822262,-0.0019299612335470506,799118636.8419647,35,60,0.03701657802062108,-0.006077381659294168,-0.0027624941080316434,-0.07292815839802946,0.004972384016081577,EXECUTED,2024-03-06,2024-03-06,TARGET_1,18.350000381469727,19.906786578042166,6,123.49543164879941,132.72604882594524,9.230617177145831,0.08483848306316766,0.0747446043461444
2024-03-13,HISTORICAL_NO_TRADE,,NO_CANDIDATE_PASSED_RULES,,0,0.0,132.72604882594524,132.72604882594524,,,,,,,,35,60,,,,,,,,,,,,0,132.72604882594524,132.72604882594524,,,
2024-03-21,HISTORICAL_NO_TRADE,,NO_CANDIDATE_PASSED_RULES,,0,0.0,132.72604882594524,132.72604882594524,,,,,,,,35,60,,,,,,,,,,,,0,132.72604882594524,132.72604882594524,,,
