rank,ticker,reference_price,smoke_score,decision_strength,relative_volume_prev20,return_5d,return_20d,distance_to_52w_high_prev,dollar_volume,stop_loss,target_1,target_2,shares_with_100,estimated_total_cost,estimated_cash_remaining,max_dollar_risk,signal_rule_pass,max_entry_price_pass,affordability_pass,all_rule_checks_passed,failed_checks,replay_date,row_type,executable_pre_rank,rejection_reason
1.0,INTC,47.79999923706055,0.8157894736842104,0.4475347401322379,1.1067600296111957,-0.004166682561238644,0.09282115689978321,-0.0678627071972806,2194292424.9767303,45.60357107434954,52.19285556248256,56.58571188790458,2,95.69559847259521,4.304401527404792,4.488456323896131,False,True,True,False,"smoke_score_below_min, relative_volume_prev20_below_min, return_5d_not_positive",2024-01-02,EXECUTABLE_NEAR_MISS,,
2.0,NVDA,48.167999267578125,0.7842105263157895,0.3847051427253047,1.1097147055803738,-0.013557291391612103,0.030001066956931055,-0.04708398061860919,19809282370.788574,46.38149969918387,51.740998404366636,55.313997541155146,2,96.43233453369139,3.567665466308611,3.6693351353236494,False,True,True,False,"smoke_score_below_min, relative_volume_prev20_below_min, return_5d_not_positive",2024-01-02,EXECUTABLE_NEAR_MISS,,
3.0,GM,36.04999923706055,0.7421052631578947,0.3401266852663159,0.8348243779231589,0.0008328367272525394,0.11402962166597108,-0.12158873214300647,630921851.6475677,34.76642785753523,38.61714199611119,41.184284755161826,2,72.17209847259521,27.82790152740479,2.6392427575247552,False,True,True,False,"smoke_score_below_min, rank_gap_below_min, relative_volume_prev20_below_min",2024-01-02,EXECUTABLE_NEAR_MISS,,
4.0,SOFI,9.649999618530273,0.7,0.32572048283100746,0.8314843454790676,-0.0061792398950545335,0.23243929917725792,-0.17521369437215584,367037735.49079895,8.883499792643956,11.182999270302908,12.715998922075542,10,96.59649618148804,3.4035038185119646,7.761498255048469,False,True,True,False,"smoke_score_below_min, rank_gap_below_min, relative_volume_prev20_below_min, return_5d_not_positive",2024-01-02,EXECUTABLE_NEAR_MISS,,
5.0,F,12.15999984741211,0.6894736842105263,0.33367779953082466,0.9346791431458428,-0.01538465815294221,0.14933836815686852,-0.21141376217589147,577536760.7528687,11.687499761581421,13.105000019073486,14.050000190734863,8,97.37727877807616,2.6227212219238396,3.877280685424793,False,True,True,False,"smoke_score_below_min, rank_gap_below_min, relative_volume_prev20_below_min, return_5d_not_positive",2024-01-02,EXECUTABLE_NEAR_MISS,,
,ASML,716.9199829101562,,,1.6231151905414138,-0.04732043240851258,0.03571217894710399,-0.07132308991375791,981248380.6091309,694.0256979806082,762.7085527692523,808.4971226283483,0,0.0,100.0,0.0,,False,False,,,2024-01-02,REJECTED_BEFORE_NANO_RANKING,False,"not_affordable, above_candidate_34_max_entry_price"
,ADBE,580.0700073242188,,,0.8019233511259313,-0.031198317621346505,-0.05290049296900323,-0.08490433053132718,1647514834.802246,558.9200243268695,622.3699733189173,664.6699393136159,0,0.0,100.0,0.0,,False,False,,,2024-01-02,REJECTED_BEFORE_NANO_RANKING,False,"not_affordable, above_candidate_34_max_entry_price"
,NOC,470.0899963378906,,,1.166407465007776,0.015028159224620419,-0.02031927324610583,-0.05393551393764384,349041822.2808838,459.7624980381557,490.7449929373605,511.3999895368304,0,0.0,100.0,0.0,,False,False,,,2024-01-02,REJECTED_BEFORE_NANO_RANKING,False,"not_affordable, above_candidate_34_max_entry_price"
,LMT,456.1199951171875,,,1.0913613749434645,0.01762525963805528,0.01493066776529317,-0.10230271671309166,550308774.1088867,448.88999720982144,470.5799909319196,485.0399867466517,0,0.0,100.0,0.0,,False,False,,,2024-01-02,REJECTED_BEFORE_NANO_RANKING,False,"not_affordable, above_candidate_34_max_entry_price"
,MSFT,370.8699951171875,,,0.9676110080088998,-0.009904403833818742,-0.009719405499242773,-0.03494663830959133,9367656858.666992,363.51463208879744,385.5807211739676,400.29144723074774,0,0.0,100.0,0.0,,False,False,,,2024-01-02,REJECTED_BEFORE_NANO_RANKING,False,"not_affordable, above_candidate_34_max_entry_price"
,ISRG,330.9800109863281,,,0.900681453811668,-0.015702131166227762,0.05006344596500889,-0.07565558629254776,456487631.15234375,321.47108568464006,349.99786158970426,369.0157121930804,0,0.0,100.0,0.0,,False,False,,,2024-01-02,REJECTED_BEFORE_NANO_RANKING,False,"not_affordable, above_candidate_34_max_entry_price"
,GD,258.6000061035156,,,1.0045190706806946,0.017709562738722484,0.035684262785812715,-0.004925345371892154,256660506.05773926,253.90500041416712,267.99001748221264,277.38002886090965,0,0.0,100.0,0.0,,False,False,,,2024-01-02,REJECTED_BEFORE_NANO_RANKING,False,"not_affordable, above_candidate_34_max_entry_price"
,CRM,256.1300048828125,,,0.7646278579405492,-0.03833442815747912,-0.014884596604567313,-0.045573040454329417,1214414805.1513672,249.1571442740304,270.0757261003767,284.0214473179409,0,0.0,100.0,0.0,,False,False,,,2024-01-02,REJECTED_BEFORE_NANO_RANKING,False,"not_affordable, above_candidate_34_max_entry_price"
,BA,251.75999450683594,,,0.9674577697995527,-0.03332824394564016,0.07649548793415817,-0.05898188507920432,1464034720.0561523,243.62142072405135,268.0371420724051,284.3142896379743,0,0.0,100.0,0.0,,False,False,,,2024-01-02,REJECTED_BEFORE_NANO_RANKING,False,"not_affordable, above_candidate_34_max_entry_price"
,TSLA,248.4199981689453,,,0.911815791501669,-0.016314228346872017,0.04015406885385553,-0.1699689562752017,25998196172.372437,235.71713638305664,273.82572174072266,299.2314453125,0,0.0,100.0,0.0,,False,False,,,2024-01-02,REJECTED_BEFORE_NANO_RANKING,False,"not_affordable, above_candidate_34_max_entry_price"
1.0,SMCI,34.237998962402344,0.9631578947368421,0.7915755483931489,1.7083904618541281,0.21999714822010463,0.3054983291972051,-0.04095243051240571,1830157996.536255,31.724320139203755,39.26535660879952,44.2927142551967,2,68.54447392272948,31.45552607727052,5.095833644321971,True,True,True,True,,2024-01-10,EXECUTABLE_NEAR_MISS,,
2.0,RXRX,12.489999771118164,0.7947368421052631,0.4483355089382166,1.65080905412816,0.28895772053522695,0.6521163843456379,-0.25410575424671233,122384511.75727844,10.974785361971174,15.520428589412145,18.550857407706125,7,87.51742839622496,12.482571603775042,10.693930862426745,False,True,True,False,smoke_score_below_min,2024-01-10,EXECUTABLE_NEAR_MISS,,
3.0,APP,40.529998779296875,0.7578947368421053,0.3790968626972608,1.1381875537490311,0.06071708323507896,0.10315723809700805,-0.10143001461856627,119620238.3972168,38.5892140524728,44.41156823294503,48.293137686593184,2,81.14105755615233,18.858942443847667,3.9626294512067375,False,True,True,False,"smoke_score_below_min, rank_gap_below_min, relative_volume_prev20_below_min",2024-01-10,EXECUTABLE_NEAR_MISS,,
4.0,CCJ,45.150001525878906,0.7578947368421052,0.3785827909978345,1.1335609084541949,0.0876897940623973,0.0019973402096085113,-0.03833864127391873,255029783.618927,43.37464441571917,48.700715746198384,52.25142996651786,2,90.39030305480956,9.609696945190436,3.6410142233712293,False,True,True,False,"smoke_score_below_min, rank_gap_below_min, relative_volume_prev20_below_min",2024-01-10,EXECUTABLE_NEAR_MISS,,
