replay_date,ticker,reference_price,entry_date,entry_price,entry_gap_pct,current_stop_loss,current_target_1,current_target_2,current_exit_date,current_exit_reason,current_pnl_dollars,current_trade_return_pct,current_account_return_pct,forward_return_1d,forward_return_3d,forward_return_5d,forward_return_10d,forward_return_20d,max_favorable_excursion_20d,max_adverse_excursion_20d,stopped_out_then_20d_positive,stopped_out_then_20d_above_target_1,stopped_out_then_20d_above_target_2,recovered_after_stop_within_20d,days_to_stop,days_to_target_1_if_any,days_to_target_2_if_any,days_to_max_favorable_20d,days_to_max_adverse_20d
2024-01-10,SMCI,34.237998962402344,2024-01-11,34.48400115966797,0.007185063517753054,31.97032233646938,39.51135880606515,44.538716452462324,2024-01-17,STOP,-5.096325648716501,-0.07289405923517234,-0.050963256487165015,0.00271634798044329,-0.04693610877692367,-0.09036742673158271,0.38904141884726573,1.0386706340054235,1.071946267683241,-0.11335692684352505,True,True,True,True,4,6,7,20,4
2024-01-19,SMCI,42.33599853515625,2024-01-22,45.6349983215332,0.07792422289596956,41.53946195329939,53.826071058000835,62.01714379446847,2024-01-22,STOP,-8.282342733110681,-0.08974551372562023,-0.08727104392664296,0.030423329051530112,0.11061514158063424,0.11996888123834948,0.36911855765224555,0.8974868554408455,1.3619372527207148,-0.10115037765378931,True,True,True,True,1,7,11,20,1
2024-01-29,SMCI,49.56700134277344,2024-01-30,54.731998443603516,0.10420233140819413,49.288069111960276,65.61985710689,76.50771577017647,2024-02-05,TARGET_1,10.83312666484288,0.1989304058485175,0.12506303542636987,0.03490224333468883,0.17719444173372745,0.33828953310575627,0.5595254989882783,0.7170899541100404,0.9693598923587914,-0.08431992244034137,False,False,False,False,,5,10,14,1
2024-02-06,PLTR,21.8700008392334,2024-02-07,21.600000381469727,-0.012345699469718752,19.921393258231028,24.957214627947124,28.31442887442452,2024-02-08,TARGET_1,13.342456984383716,0.15542658274013244,0.13690966241519842,0.07910377118654788,0.1147690089261646,0.09785090569404153,0.039780470896189524,0.19615906920692594,0.23842590405453756,-0.01018524151934086,False,False,False,False,,2,,20,1
2024-02-14,HOOD,13.380000114440918,2024-02-15,13.399999618530273,0.0014947312345512387,12.59964234488351,15.000714165823801,16.60142871311733,2024-02-26,TARGET_1,12.698516381399997,0.11945631290018621,0.11461073939426158,0.002989533745209494,0.05306427743454778,0.0440956761989193,0.21898350720783188,0.34902833203860295,0.43507463355775045,-0.0268656467854983,False,False,False,False,,7,12,20,1
2024-03-05,HPE,18.100000381469727,2024-03-06,18.350000381469727,0.013812154405032029,17.571607283183507,19.906786578042166,21.463572774614605,2024-03-06,TARGET_1,9.230617177145831,0.08483848306316766,0.0747446043461444,0.03701657802062108,-0.006077381659294168,-0.0027624941080316434,-0.07292815839802946,0.004972384016081577,0.09373293065930333,-0.1008174573847912,False,False,False,False,7,1,,1,11
2024-04-01,CCJ,46.75,2024-04-02,46.2599983215332,-0.01048131932549301,43.66499819074358,51.449998583112446,56.63999884469169,2024-04-12,TARGET_1,10.287480526515424,0.11219196822070332,0.0775091296510021,0.01989305465616642,0.03443851572944512,0.04278074866310155,0.03358288117271058,0.057112260298295414,0.1379161543364229,-0.011889305166803976,False,False,False,False,,9,,9,1
2024-04-25,F,13.039999961853027,2024-04-26,12.760000228881836,-0.021472372223182323,12.196428775787354,13.8871431350708,15.014286041259766,2024-04-30,STOP,-6.339645986557002,-0.044167040986320405,-0.04432899471303009,-0.019171779197189043,-0.06825156027042523,-0.04217792886072269,-0.06978526457624279,-0.07131904201659411,0.020376193120540398,-0.06661444876354927,False,False,False,False,3,,,1,11
2024-05-13,NVAX,13.109999656677246,2024-05-14,13.399999618530273,0.022120516357551745,11.819642220224653,16.560714415141515,19.721429211752756,2024-05-15,STOP,-15.937573979241492,-0.11793712263395995,-0.11661023735290654,0.02822272274970139,0.09839816900345988,0.1281464797232177,0.18382920398163027,0.2761250938489024,0.7805971111638399,-0.1559700939113018,True,True,False,True,2,7,16,17,2
2024-05-21,IREN,7.400000095367432,2024-05-22,7.28000020980835,-0.016216200542241155,6.450285877500262,8.939428874424525,10.5988575390407,2024-06-03,TARGET_1,26.434378630501882,0.2279434913175451,0.21894307325433376,0.048648666064176505,0.05810808416175739,0.04594590153634992,0.22432436525081467,0.8783783026208323,1.0535713431880112,-0.03159340830287438,False,False,False,False,,8,12,16,3
2024-06-18,HPE,21.84000015258789,2024-06-20,22.65999984741211,0.037545773310219355,21.34974983760289,25.28049986703055,27.90099988664899,2024-06-21,STOP,-7.997460057939776,-0.05782215439683058,-0.05434139206447861,-0.016483544314852216,-0.06272897571711156,-0.04212454532354626,-0.05357143169045753,-0.05357143169045753,0.0035304467892656177,-0.10458953873979981,False,False,False,False,2,,,1,11
