date,event,ticker,equity,cash,position_ticker,exit_reason,open_shares,note
,START,,100.0,100.0,,,0,
2024-01-02,NO_TRADE,,100.0,100.0,,,0,price_between_5_and_50
2024-01-03,NO_TRADE,,100.0,100.0,,,0,price_between_5_and_50
2024-01-04,NO_TRADE,,100.0,100.0,,,0,price_between_5_and_50
2024-01-05,NO_TRADE,,100.0,100.0,,,0,price_between_5_and_50
2024-01-08,NO_TRADE,,100.0,100.0,,,0,price_between_5_and_50
2024-01-09,NO_TRADE,,100.0,100.0,,,0,price_between_5_and_50
2024-01-10,NO_TRADE,,100.0,100.0,,,0,price_between_5_and_50
2024-01-11,NO_TRADE,,100.0,100.0,,,0,price_between_5_and_50
2024-01-12,NO_TRADE,,100.0,100.0,,,0,price_between_5_and_50
2024-01-17,ENTRY,CCJ,99.64389786529541,3.80390152740479,CCJ,,2,entered next session open
2024-02-12,EXIT,CCJ,90.38039015274047,90.38039015274047,CCJ,STOP,0,final exit or data-end mark
2024-02-14,ENTRY,HOOD,88.69050425987244,8.410503573226933,HOOD,,6,entered next session open
2024-02-27,PARTIAL_EXIT,HOOD,105.37139850096702,24.121398500967025,HOOD,TARGET_15,5,sold one share and moved stop to breakeven
2024-03-13,EXIT,HOOD,109.92139773802757,109.92139773802757,HOOD,TIME_EXIT,0,final exit or data-end mark
2024-03-14,NO_TRADE,,109.92139773802757,109.92139773802757,,,0,price_between_5_and_50
2024-03-18,ENTRY,GM,109.69961834959985,28.059618959951408,GM,,2,entered next session open
2024-04-15,EXIT,GM,113.43961621336938,113.43961621336938,GM,TIME_EXIT,0,final exit or data-end mark
2024-04-16,NO_TRADE,,113.43961621336938,113.43961621336938,,,0,price_between_5_and_50
2024-04-17,NO_TRADE,,113.43961621336938,113.43961621336938,,,0,price_between_5_and_50
2024-04-18,NO_TRADE,,113.43961621336938,113.43961621336938,,,0,price_between_5_and_50
2024-04-19,NO_TRADE,,113.43961621336938,113.43961621336938,,,0,price_between_5_and_50
2024-04-22,NO_TRADE,,113.43961621336938,113.43961621336938,,,0,price_between_5_and_50
2024-04-23,NO_TRADE,,113.43961621336938,113.43961621336938,,,0,price_between_5_and_50
2024-04-24,NO_TRADE,,113.43961621336938,113.43961621336938,,,0,price_between_5_and_50
2024-04-25,NO_TRADE,,113.43961621336938,113.43961621336938,,,0,price_between_5_and_50
2024-04-29,ENTRY,SOFI,108.45406907610895,2.779067931699771,SOFI,,15,entered next session open
2024-04-30,EXIT,SOFI,102.37356138520241,102.37356138520241,SOFI,STOP,0,final exit or data-end mark
2024-05-01,NO_TRADE,,102.37356138520241,102.37356138520241,,,0,price_between_5_and_50
2024-05-02,NO_TRADE,,102.37356138520241,102.37356138520241,,,0,price_between_5_and_50
2024-05-03,NO_TRADE,,102.37356138520241,102.37356138520241,,,0,price_between_5_and_50
2024-05-06,NO_TRADE,,102.37356138520241,102.37356138520241,,,0,price_between_5_and_50
