feature_name,sample_id,winner_count,loser_count,winner_mean,loser_mean,winner_median,loser_median,loser_minus_winner_mean,loser_minus_winner_median,simple_separation_score,missing_rate,notes
atr_pct,ALL,146,198,0.059119820980545024,0.05848816749901465,0.052805696515968,0.056086715051178744,-0.000631653481530374,0.0032810185352107474,0.027917618856706593,0.0,atr_pct_lower_for_losers
volatility_20d,ALL,140,188,0.054960361569981964,0.054992726964738316,0.047463448881158554,0.051538369346051535,3.2365394756352084e-05,0.004074920464892981,0.001071009616096145,0.046511627906976744,volatility_20d_higher_for_losers
entry_gap_pct,ALL,146,197,0.0030414201279319545,0.004451446674505308,-0.0014226382071866328,0.0051958096877757765,0.0014100265465733534,0.006618447894962409,0.03605398937062742,0.0029069767441860465,entry_gap_pct_higher_for_losers
decision_strength,ALL,146,198,0.7075579463604172,0.6788320325518554,0.7128791216079312,0.65659578978562,-0.02872591380856182,-0.056283331822311156,0.23442132269061555,0.0,decision_strength_lower_for_losers
smoke_score,ALL,146,198,0.9292961068790109,0.921007371457943,0.9352380952380952,0.9222222222222222,-0.008288735421067894,-0.013015873015873036,0.19301870583662534,0.0,smoke_score_lower_for_losers
relative_volume_prev20,ALL,146,198,3.341016074244037,2.9434085905654257,2.4227746889812436,2.219812667631825,-0.3976074836786112,-0.20296202134941854,0.13771078677221338,0.0,relative_volume_prev20_lower_for_losers
distance_from_20d_high_pct,ALL,146,198,-0.04929071652509007,-0.043221598286285426,-0.034436339229147905,-0.028224845220901407,0.006069118238804641,0.006211494008246499,0.13197307986923298,0.0,distance_from_20d_high_pct_higher_for_losers
distance_from_52w_high_pct,ALL,146,198,-0.04464898996685111,-0.0752878304081972,-0.01874998183921006,-0.06610930903288592,-0.030638840441346085,-0.04735932719367586,0.2395477020077466,0.0,distance_from_52w_high_pct_lower_for_losers
return_1d_prior,ALL,146,198,0.08725300572002338,0.08156599127563884,0.07863556567542296,0.05735665414576019,-0.005687014444384547,-0.02127891152966277,0.05182352796098839,0.0,return_1d_prior_lower_for_losers
return_5d_prior,ALL,146,198,0.22282139389448602,0.24329871930763133,0.20013522959983265,0.1976859492392895,0.020477325413145314,-0.002449280360543149,0.10233836501784968,0.0,return_5d_prior_higher_for_losers
return_10d_prior,ALL,146,191,0.2934507102777617,0.33374768144099826,0.2417786291007239,0.24090907268287753,0.04029697116323655,-0.0008695564178463622,0.13871569840883854,0.020348837209302327,return_10d_prior_higher_for_losers
return_20d_prior,ALL,146,198,0.4153226729483296,0.44292417685874846,0.32616490977523016,0.2886178972101925,0.02760150391041888,-0.037547012565037674,0.06469403932416178,0.0,return_20d_prior_higher_for_losers
max_single_day_loss_20d,ALL,140,188,-0.06633823988643195,-0.06191813430633852,-0.060576844603349445,-0.05938826209149667,0.004420105580093432,0.001188582511852776,0.1288038874499642,0.046511627906976744,max_single_day_loss_20d_higher_for_losers
near_max_entry_price_pct,ALL,146,197,0.5271406838012067,0.4737221317000801,0.47639999389648435,0.40599998474121096,-0.053418552101126615,-0.07040000915527339,0.1994834898052162,0.0029069767441860465,near_max_entry_price_pct_lower_for_losers
atr_pct,0,14,20,0.05696487350406527,0.051824469598893586,0.05352117301394084,0.050355606702895406,-0.005140403905171682,-0.003165566311045434,0.3019148648452847,0.0,atr_pct_lower_for_losers
volatility_20d,0,13,18,0.056863092382404425,0.051396940945790524,0.05897802223650192,0.03594220914516562,-0.0054661514366139,-0.023035813091336302,0.13406706681196465,0.08823529411764706,volatility_20d_lower_for_losers
entry_gap_pct,0,14,20,0.014054666461575216,0.00808833931552574,0.004246184058978808,0.004602573214668171,-0.005966327146049477,0.0003563891556893628,0.2157041701306037,0.0,entry_gap_pct_lower_for_losers
decision_strength,0,14,20,0.7391407061709803,0.6736520944451584,0.7481118373275235,0.6459100158510958,-0.06548861172582188,-0.10220182147642776,0.4679811527799504,0.0,decision_strength_lower_for_losers
smoke_score,0,14,20,0.9419120314501855,0.9228645857178085,0.9555555555555555,0.9155555555555555,-0.019047445732377044,-0.040000000000000036,0.3978103444798794,0.0,smoke_score_lower_for_losers
relative_volume_prev20,0,14,20,3.9689124940068425,3.7842094672365727,3.1271395166298537,2.411119285512958,-0.18470302677026984,-0.7160202311168957,0.06904292705540824,0.0,relative_volume_prev20_lower_for_losers
distance_from_20d_high_pct,0,14,20,-0.028476702419001892,-0.047953000392521754,-0.024930609889596556,-0.044795157325735135,-0.019476297973519862,-0.01986454743613858,0.5291262830520849,0.0,distance_from_20d_high_pct_lower_for_losers
distance_from_52w_high_pct,0,14,20,-0.024688344510828148,-0.04888232660372242,-0.005928450395970453,-0.08574408435151376,-0.024193982092894275,-0.07981563395554331,0.19654856370353352,0.0,distance_from_52w_high_pct_lower_for_losers
return_1d_prior,0,14,20,0.1322365760811885,0.08307555694149618,0.12823715671791702,0.042355143568483467,-0.049161019139692314,-0.08588201314943356,0.4151734003327101,0.0,return_1d_prior_lower_for_losers
return_5d_prior,0,14,20,0.30873847017005335,0.24552969307267972,0.2416819612832387,0.10775153067858778,-0.06320877709737363,-0.13393043060465093,0.19670737706337924,0.0,return_5d_prior_lower_for_losers
return_10d_prior,0,14,19,0.31116059067318247,0.3460907640957311,0.25343536544224776,0.17244225844243743,0.034930173422548616,-0.08099310699981033,0.09677608229362356,0.029411764705882353,return_10d_prior_higher_for_losers
return_20d_prior,0,14,20,0.40791039919263333,0.35526571984444694,0.3190512832961483,0.2226171891156412,-0.052644679348186396,-0.09643409418050708,0.12863184685149381,0.0,return_20d_prior_lower_for_losers
max_single_day_loss_20d,0,13,18,-0.060409284517339804,-0.0544271540612331,-0.06444293560822134,-0.05070288306966392,0.005982130456106703,0.013740052538557423,0.2859039431832601,0.08823529411764706,max_single_day_loss_20d_higher_for_losers
near_max_entry_price_pct,0,14,20,0.5467671401160105,0.46641899967193606,0.40970001220703123,0.4268000030517578,-0.0803481404440744,0.017099990844726576,0.3148652421103128,0.0,near_max_entry_price_pct_lower_for_losers
