symbol,role,first_data_date,last_data_date,bar_count,missing_session_count,zero_volume_count,abnormal_volume_count,split_or_adjustment_anomaly_count,metadata_status,warnings
AAPL,candidate,2024-01-02,2026-06-29,624,0,0,0,0,available,
ABNB,candidate,2024-01-02,2026-06-29,624,0,0,0,0,available,
ACHR,candidate,2024-01-02,2026-06-29,624,0,0,0,0,available,
ADBE,candidate,2024-01-02,2026-06-29,624,0,0,0,0,available,
AFRM,candidate,2024-01-02,2026-06-29,624,0,0,0,0,available,
AI,candidate,2024-01-02,2026-06-29,624,0,0,0,0,available,
AMAT,candidate,2024-01-02,2026-06-29,624,0,0,0,0,available,
AMD,candidate,2024-01-02,2026-06-29,624,0,0,0,0,available,
ANET,candidate,2024-01-02,2026-06-29,624,0,0,0,0,available,
APP,candidate,2024-01-02,2026-06-29,624,0,0,0,1,available,
ARM,candidate,2024-01-02,2026-06-29,624,0,0,0,1,available,
ASML,candidate,2024-01-02,2026-06-29,624,0,0,0,0,available,
AVAV,candidate,2024-01-02,2026-06-29,624,0,0,1,0,available,
AVGO,candidate,2024-01-02,2026-06-29,624,0,0,0,0,available,
BA,candidate,2024-01-02,2026-06-29,624,0,0,0,0,available,
BBAI,candidate,2024-01-02,2026-06-29,624,0,0,0,0,available,
BEAM,candidate,2024-01-02,2026-06-29,624,0,0,0,0,available,
BWXT,candidate,2024-01-02,2026-06-29,624,0,0,0,0,available,
CAVA,candidate,2024-01-02,2026-06-29,624,0,0,0,0,available,
CCJ,candidate,2024-01-02,2026-06-29,624,0,0,0,0,available,
CEG,candidate,2024-01-02,2026-06-29,624,0,0,0,0,available,
COIN,candidate,2024-01-02,2026-06-29,624,0,0,0,0,available,
CORZ,candidate,2024-02-21,2026-06-29,590,0,0,0,0,available,
CRM,candidate,2024-01-02,2026-06-29,624,0,0,0,0,available,
CRWD,candidate,2024-01-02,2026-06-29,624,0,0,0,0,available,
DASH,candidate,2024-01-02,2026-06-29,624,0,0,1,0,available,
DDOG,candidate,2024-01-02,2026-06-29,624,0,0,1,0,available,
DELL,candidate,2024-01-02,2026-06-29,624,0,0,0,0,available,
DNA,candidate,2024-01-02,2026-06-29,624,0,0,0,0,available,
DUOL,candidate,2024-01-02,2026-06-29,624,0,0,1,0,available,
EDIT,candidate,2024-01-02,2026-06-29,623,1,0,1,1,available,
ELF,candidate,2024-01-02,2026-06-29,624,0,0,0,0,available,
ESTC,candidate,2024-01-02,2026-06-29,624,0,0,0,0,available,
ETN,candidate,2024-01-02,2026-06-29,624,0,0,0,0,available,
F,candidate,2024-01-02,2026-06-29,624,0,0,0,0,available,
GD,candidate,2024-01-02,2026-06-29,624,0,0,0,0,available,
GEV,candidate,2024-04-24,2026-06-29,546,0,0,0,0,available,
GM,candidate,2024-01-02,2026-06-29,624,0,0,0,0,available,
HOOD,candidate,2024-01-02,2026-06-29,624,0,0,0,0,available,
HPE,candidate,2024-01-02,2026-06-29,624,0,0,0,0,available,
HUT,candidate,2024-01-02,2026-06-29,624,0,0,0,0,available,
INTC,candidate,2024-01-02,2026-06-29,624,0,0,0,0,available,
IREN,candidate,2024-01-02,2026-06-29,624,0,0,0,0,available,
ISRG,candidate,2024-01-02,2026-06-29,624,0,0,0,0,available,
JOBY,candidate,2024-01-02,2026-06-29,624,0,0,0,0,available,
KLAC,candidate,2024-01-02,2026-06-29,624,0,0,0,0,available,
KTOS,candidate,2024-01-02,2026-06-29,624,0,0,0,0,available,
LCID,candidate,2024-01-02,2026-06-29,624,0,0,0,0,available,
LEU,candidate,2024-01-02,2026-06-29,624,0,0,0,0,available,
LI,candidate,2024-01-02,2026-06-29,624,0,0,0,0,available,
LMT,candidate,2024-01-02,2026-06-29,624,0,0,0,0,available,
LRCX,candidate,2024-01-02,2026-06-29,624,0,0,0,0,available,
MRNA,candidate,2024-01-02,2026-06-29,624,0,0,0,0,available,
MRVL,candidate,2024-01-02,2026-06-29,624,0,0,0,0,available,
MSFT,candidate,2024-01-02,2026-06-29,624,0,0,0,0,available,
MSTR,candidate,2024-01-02,2026-06-29,624,0,0,0,0,available,
MU,candidate,2024-01-02,2026-06-29,624,0,0,0,0,available,
NEE,candidate,2024-01-02,2026-06-29,624,0,0,0,0,available,
NET,candidate,2024-01-02,2026-06-29,624,0,0,0,0,available,
NIO,candidate,2024-01-02,2026-06-29,624,0,0,0,0,available,
NOC,candidate,2024-01-02,2026-06-29,624,0,0,0,0,available,
NOW,candidate,2024-01-02,2026-06-29,624,0,0,0,0,available,
NVAX,candidate,2024-01-02,2026-06-29,624,0,0,2,2,available,
NVDA,candidate,2024-01-02,2026-06-29,624,0,0,0,0,available,
OKLO,candidate,2024-01-02,2026-06-29,617,7,0,0,1,available,
OKTA,candidate,2024-01-02,2026-06-29,624,0,0,0,0,available,
PANW,candidate,2024-01-02,2026-06-29,624,0,0,0,0,available,
PATH,candidate,2024-01-02,2026-06-29,624,0,0,0,0,available,
PLTR,candidate,2024-01-02,2026-06-29,624,0,0,0,0,available,
PWR,candidate,2024-01-02,2026-06-29,624,0,0,0,0,available,
PYPL,candidate,2024-01-02,2026-06-29,624,0,0,0,0,available,
QCOM,candidate,2024-01-02,2026-06-29,624,0,0,0,0,available,
QQQ,market_regime_index,2024-01-02,2026-06-29,624,0,0,0,0,available,
RBLX,candidate,2024-01-02,2026-06-29,624,0,0,0,0,available,
RDDT,candidate,2024-04-18,2026-06-29,550,0,0,0,0,available,
RIVN,candidate,2024-01-02,2026-06-29,624,0,0,0,0,available,
RKLB,candidate,2024-01-02,2026-06-29,624,0,0,0,0,available,
ROKU,candidate,2024-01-02,2026-06-29,624,0,0,0,0,available,
RTX,candidate,2024-01-02,2026-06-29,624,0,0,0,0,available,
RXRX,candidate,2024-01-02,2026-06-29,624,0,0,0,0,available,
S,candidate,2024-01-02,2026-06-29,624,0,0,0,0,available,
SDGR,candidate,2024-01-02,2026-06-29,624,0,0,0,0,available,
