policy_name,split_name,sample_count,total_buy_count,median_buy_count,minimum_buy_count,median_no_trade_count,median_buy_rate,worst_sample_ending_value,median_ending_account_value,worst_max_drawdown,median_simulated_win_rate,median_accuracy_1d,median_accuracy_3d,median_accuracy_5d,median_accuracy_10d,median_accuracy_20d,median_profit_factor,worst_trade_loss_percent,max_top_ticker_loss_share,max_top_theme_loss_share,median_ending_value_excluding_best_trade,total_excluded_trades,total_excluded_loser_count,total_excluded_winner_count,excluded_loser_dollars_avoided,excluded_winner_dollars_missed,median_overlay_false_positive_rate,median_overlay_false_negative_rate
candidate34_frozen_baseline,calibration,10,345,34.0,29,66.0,0.34,38.0969616014619,185.82498521559634,-0.6629919232131725,0.4264705882352941,0.5218487394957982,0.4609800362976406,0.4589783281733746,0.5071428571428571,0.5345864661654135,1.3314416492542636,-0.21628311696796101,0.35232464126960916,0.4582015037647146,141.63176254299768,0,0,0,0.0,0.0,0.0,0.5735294117647058
candidate34_frozen_baseline,holdout,10,327,32.0,29,68.0,0.32,59.30259105103381,136.88275617766422,-0.5991561694765073,0.39920424403183025,0.5,0.4346153846153846,0.42107371794871795,0.5,0.5,1.1773358838020687,-0.19412548905865287,0.35143522186282855,0.408544888921585,93.39767462761101,0,0,0,0.0,0.0,0.0,0.6007957559681698
candidate34_frozen_baseline,validation,10,327,33.0,28,67.0,0.33,40.3509529787475,156.2616766755245,-0.6965480142720413,0.42857142857142855,0.46651785714285715,0.4875,0.3933982683982684,0.5138528138528138,0.5,1.253397559485431,-0.21063748795922524,0.31418884998990326,0.502038583451404,118.18910288919768,0,0,0,0.0,0.0,0.0,0.5714285714285714
candidate35_trend_quality_frozen,calibration,10,862,86.0,84,14.0,0.86,137.8129672318874,243.66099974577855,-0.5694574601830511,0.5113636363636364,0.5443977591036415,0.5497264021887824,0.5706716036772217,0.5954290296712108,0.6493721083939195,1.484095019491253,-0.12005384272221833,0.41303409025554627,0.5250898138828126,194.29004687145857,0,0,0,0.0,0.0,0.0,0.48863636363636365
candidate35_trend_quality_frozen,holdout,10,894,89.5,88,10.5,0.895,191.39391152341082,237.3990558587489,-0.4908790044538742,0.5155187074829932,0.5475031210986268,0.5222222222222223,0.5475031210986268,0.5674242424242424,0.6306818181818181,1.5128918674890732,-0.12290579040323074,0.2914630015639451,0.532002580354337,199.47269739300924,0,0,0,0.0,0.0,0.0,0.4844812925170068
candidate35_trend_quality_frozen,validation,10,876,87.5,86,12.5,0.875,162.97394521508963,223.7774669669023,-0.5515302093630572,0.48936170212765956,0.5344873150105708,0.5367083758937692,0.5340909090909091,0.5679969004261913,0.6321353065539113,1.3982559219248147,-0.11946051931003697,0.3159951123180114,0.5512217912203895,181.7011118360254,0,0,0,0.0,0.0,0.0,0.5106382978723404
overlay_combined_conservative,calibration,10,562,56.0,51,44.0,0.56,82.44013547842881,192.7743830902922,-0.4209127504180832,0.5,0.5546610169491526,0.5727513227513228,0.539043583535109,0.6203703703703705,0.681878306878307,1.803341680329253,-0.08115235589955078,0.34424320735498243,0.4924745585982983,167.05857893902964,300,138,162,1244.2719271180279,2299.877418629784,0.5375,0.5
overlay_combined_conservative,holdout,10,584,58.5,55,41.5,0.585,75.95761782809691,172.5170686488837,-0.42140103537942253,0.46464646464646464,0.5687034277198211,0.5,0.5267942583732057,0.5641437755698422,0.6439655172413794,1.6695721652300213,-0.07862701366116022,0.49575491011162626,0.49575491011162626,152.55535317012283,310,137,173,1234.1393206456037,2463.3688159480794,0.5405844155844155,0.5353535353535354
overlay_combined_conservative,validation,10,575,57.5,56,42.5,0.575,92.1555967499873,169.01393822922074,-0.45754846648880243,0.4646825396825397,0.5825771324863884,0.5357142857142857,0.5178571428571429,0.5644673123486683,0.6428571428571429,1.4939891393388909,-0.08140627170572723,0.44530681499767205,0.5137381795717031,145.84926557792983,301,138,163,1243.6124155547266,2313.229013104168,0.5313479623824451,0.5353174603174603
overlay_high_volatility_tail_skip,calibration,10,562,56.0,51,44.0,0.56,82.44013547842881,192.7743830902922,-0.4209127504180832,0.5,0.5546610169491526,0.5727513227513228,0.539043583535109,0.6203703703703705,0.681878306878307,1.803341680329253,-0.08115235589955078,0.34424320735498243,0.4924745585982983,167.05857893902964,300,138,162,1244.2719271180279,2299.877418629784,0.5375,0.5
