sample_id,policy_name,drawdown_start_replay_date,drawdown_end_replay_date,drawdown_depth,number_of_trades_in_drawdown,tickers_in_drawdown,themes_in_drawdown,worst_trade_in_drawdown,whether_overlay_excluded_worst_trade,whether_overlay_reduced_drawdown,whether_overlay_delayed_or_shifted_drawdown
0,candidate34_frozen_baseline,2025-05-13,2026-03-19,-0.4586370161801102,15,"ACHR,BBAI,CORZ,F,HPE,INTC,JOBY,PATH,RIVN,RKLB,SOFI","AI / software,AI infrastructure,EV / mobility,crypto-adjacent / high beta,fintech,semiconductor / hardware,space / defense / nuclear",2026-03-19 RIVN pnl=-12.55,False,,
0,candidate35_trend_quality_frozen,2025-09-23,2026-03-03,-0.28277960325528995,8,"F,INTC,MRNA","EV / mobility,biotech,semiconductor / hardware",2026-03-03 MRNA pnl=-33.27,False,,
0,overlay_market_regime_risk_off_skip,2025-09-23,2026-03-03,-0.2830431522745599,8,"F,INTC,MRNA","EV / mobility,biotech,semiconductor / hardware",2026-03-03 MRNA pnl=-38.81,False,,
0,overlay_high_volatility_tail_skip,2025-09-23,2026-03-27,-0.2216741734327028,8,"CORZ,F,HPE,INTC","AI infrastructure,EV / mobility,crypto-adjacent / high beta,semiconductor / hardware",2026-03-27 HPE pnl=-12.62,True,,
0,overlay_theme_loss_cooldown_5pct_3,2025-09-23,2026-04-24,-0.46155909931759076,10,"CORZ,F,INTC,MRNA,RIVN,SOFI,XPEV","EV / mobility,biotech,crypto-adjacent / high beta,fintech,semiconductor / hardware",2026-04-24 CORZ pnl=-6.55,True,,
0,overlay_theme_loss_cooldown_5pct_5,2025-09-23,2026-04-24,-0.3647187724949934,8,"CORZ,F,INTC,MRNA,PATH,XPEV","AI / software,EV / mobility,biotech,crypto-adjacent / high beta,semiconductor / hardware",2026-04-24 CORZ pnl=-14.73,True,,
0,overlay_theme_loss_cooldown_5pct_8,2025-09-23,2026-04-24,-0.364355499489045,8,"CORZ,F,INTC,MRNA,PATH,XPEV","AI / software,EV / mobility,biotech,crypto-adjacent / high beta,semiconductor / hardware",2026-04-24 CORZ pnl=-11.46,True,,
0,overlay_theme_loss_cooldown_8pct_3,2025-09-23,2026-03-03,-0.4229807387918567,9,"F,INTC,MRNA,RIVN,SOFI,XPEV","EV / mobility,biotech,fintech,semiconductor / hardware",2026-03-03 MRNA pnl=-22.18,False,,
0,overlay_theme_loss_cooldown_8pct_5,2025-09-23,2026-03-03,-0.4292569471804869,9,"F,INTC,MRNA,PATH,SOFI,XPEV","AI / software,EV / mobility,biotech,fintech,semiconductor / hardware",2026-03-03 MRNA pnl=-22.18,False,,
0,overlay_theme_loss_cooldown_8pct_8,2025-09-23,2026-03-03,-0.38032953817993254,8,"F,INTC,MRNA,PATH,SOFI,XPEV","AI / software,EV / mobility,biotech,fintech,semiconductor / hardware",2026-03-03 MRNA pnl=-27.72,False,,
0,overlay_theme_loss_cooldown_10pct_3,2025-09-23,2026-03-03,-0.26443689081784383,8,"F,INTC,MRNA","EV / mobility,biotech,semiconductor / hardware",2026-03-03 MRNA pnl=-27.72,False,,
0,overlay_theme_loss_cooldown_10pct_5,2025-09-23,2026-03-03,-0.26443689081784383,8,"F,INTC,MRNA","EV / mobility,biotech,semiconductor / hardware",2026-03-03 MRNA pnl=-27.72,False,,
0,overlay_theme_loss_cooldown_10pct_8,2025-09-23,2026-03-03,-0.26134778274142245,8,"F,INTC,MRNA","EV / mobility,biotech,semiconductor / hardware",2026-03-03 MRNA pnl=-27.72,False,,
0,overlay_ticker_loss_cooldown_5pct_5,2025-09-23,2026-04-24,-0.24652484898267224,8,"CORZ,F,INTC,MRNA,XPEV","EV / mobility,biotech,crypto-adjacent / high beta,semiconductor / hardware",2026-04-24 CORZ pnl=-11.46,True,,
0,overlay_ticker_loss_cooldown_5pct_10,2025-09-23,2026-04-24,-0.2721623162351553,8,"CORZ,F,INTC,MRNA,XPEV","EV / mobility,biotech,crypto-adjacent / high beta,semiconductor / hardware",2026-04-24 CORZ pnl=-9.82,True,,
0,overlay_ticker_loss_cooldown_5pct_15,2024-06-27,2024-08-19,-0.23094391123389524,5,"F,HOOD,KTOS,PLTR,RKLB","AI / software,EV / mobility,fintech,space / defense / nuclear",2024-08-19 RKLB pnl=-10.02,True,,
0,overlay_ticker_loss_cooldown_8pct_5,2025-09-23,2026-03-03,-0.3476950812763857,9,"F,INTC,MRNA,SOFI,XPEV","EV / mobility,biotech,fintech,semiconductor / hardware",2026-03-03 MRNA pnl=-22.18,False,,
0,overlay_ticker_loss_cooldown_8pct_10,2025-09-23,2026-03-03,-0.29249610332057197,8,"F,INTC,MRNA,SOFI,XPEV","EV / mobility,biotech,fintech,semiconductor / hardware",2026-03-03 MRNA pnl=-22.18,False,,
0,overlay_ticker_loss_cooldown_8pct_15,2025-09-23,2026-03-03,-0.2507585591374306,7,"F,INTC,MRNA,SOFI,XPEV","EV / mobility,biotech,fintech,semiconductor / hardware",2026-03-03 MRNA pnl=-27.72,False,,
0,overlay_ticker_loss_cooldown_10pct_5,2025-09-23,2026-03-03,-0.27749624709493426,8,"F,INTC,MRNA","EV / mobility,biotech,semiconductor / hardware",2026-03-03 MRNA pnl=-27.72,False,,
0,overlay_ticker_loss_cooldown_10pct_10,2025-09-23,2026-03-03,-0.27749624709493426,8,"F,INTC,MRNA","EV / mobility,biotech,semiconductor / hardware",2026-03-03 MRNA pnl=-27.72,False,,
0,overlay_ticker_loss_cooldown_10pct_15,2025-09-23,2026-03-03,-0.27749624709493426,8,"F,INTC,MRNA","EV / mobility,biotech,semiconductor / hardware",2026-03-03 MRNA pnl=-27.72,False,,
1,candidate34_frozen_baseline,2025-12-03,2026-05-13,-0.2691935988628392,8,"F,INTC,NIO,PATH,RIVN,XPEV","AI / software,EV / mobility,semiconductor / hardware",2026-05-13 F pnl=-11.84,False,,
1,candidate35_trend_quality_frozen,2025-07-09,2026-03-04,-0.5694574601830511,15,"CORZ,F,INTC,IREN,JOBY,NVAX,RIVN,SOFI,XPEV","EV / mobility,biotech,crypto-adjacent / high beta,fintech,semiconductor / hardware",2026-03-04 NVAX pnl=-15.28,False,,
1,overlay_market_regime_risk_off_skip,2025-07-09,2026-03-04,-0.5614710292853244,15,"CORZ,F,INTC,IREN,JOBY,NVAX,RIVN,SOFI,XPEV","EV / mobility,biotech,crypto-adjacent / high beta,fintech,semiconductor / hardware",2026-03-04 NVAX pnl=-14.10,False,,
1,overlay_high_volatility_tail_skip,2024-09-17,2025-02-25,-0.25333792878712125,8,"HOOD,HPE,KTOS,PLTR,SOFI,XPEV","AI / software,AI infrastructure,EV / mobility,fintech,space / defense / nuclear",2025-02-25 XPEV pnl=-5.79,True,,
1,overlay_theme_loss_cooldown_5pct_3,2025-08-28,2026-03-04,-0.4691667789895865,10,"CORZ,F,INTC,IREN,NVAX,RIVN,SOFI,XPEV","EV / mobility,biotech,crypto-adjacent / high beta,fintech,semiconductor / hardware",2026-03-04 NVAX pnl=-15.28,False,,
1,overlay_theme_loss_cooldown_5pct_5,2025-09-24,2026-03-04,-0.367384083322013,8,"CORZ,F,INTC,IREN,NVAX,SOFI,XPEV","EV / mobility,biotech,crypto-adjacent / high beta,fintech,semiconductor / hardware",2026-03-04 NVAX pnl=-19.98,False,,
1,overlay_theme_loss_cooldown_5pct_8,2025-09-24,2026-03-04,-0.405236556713256,8,"CORZ,F,INTC,IREN,NVAX,SOFI,XPEV","EV / mobility,biotech,crypto-adjacent / high beta,fintech,semiconductor / hardware",2026-03-04 NVAX pnl=-19.98,False,,
