ticker,asset_type,first_available_date,last_available_date,requested_start_date,requested_end_date,has_full_lookback_coverage,has_full_forward_coverage,missing_ohlcv_count,missing_ohlcv_pct,zero_volume_count,zero_volume_pct,abnormal_volume_flag,stale_data_flag,duplicate_date_count,non_monotonic_date_flag,split_or_adjustment_anomaly_flag,extreme_gap_count,extreme_gap_examples,metadata_available_flag,metadata_rejected_flag,metadata_rejection_reason,download_error_flag,download_error_message,yfinance_404_flag,latest_close,latest_price_under_50_flag,avg_dollar_volume_20d,avg_dollar_volume_60d,data_quality_grade,data_quality_reason
AAPL,EQUITY,2024-01-02,2026-06-29,2024-01-01,2026-06-30,True,True,0,0.0,0,0.0,False,False,0,False,False,0,,True,False,,False,,False,281.739990234375,False,19616992885.95749,15237128587.454428,WARN,single_retail_vendor_yfinance
ABNB,EQUITY,2024-01-02,2026-06-29,2024-01-01,2026-06-30,True,True,0,0.0,0,0.0,False,False,0,False,False,0,,True,False,,False,,False,147.1699981689453,False,562737106.8593597,522799476.142807,WARN,single_retail_vendor_yfinance
ACHR,EQUITY,2024-01-02,2026-06-29,2024-01-01,2026-06-30,True,True,0,0.0,0,0.0,False,False,0,False,False,0,,True,False,,False,,False,4.679999828338623,True,259378171.0106492,246133045.31814417,WARN,single_retail_vendor_yfinance
ADBE,EQUITY,2024-01-02,2026-06-29,2024-01-01,2026-06-30,True,True,0,0.0,0,0.0,False,False,0,False,False,0,,True,False,,False,,False,206.42999267578125,False,1922378218.3512878,1461472614.6809387,WARN,single_retail_vendor_yfinance
AFRM,EQUITY,2024-01-02,2026-06-29,2024-01-01,2026-06-30,True,True,0,0.0,0,0.0,False,False,0,False,False,1,2024-08-29,True,False,,False,,False,81.79000091552734,False,342722224.5482254,334916601.8693161,WARN,single_retail_vendor_yfinance
AI,EQUITY,2024-01-02,2026-06-29,2024-01-01,2026-06-30,True,True,0,0.0,0,0.0,False,False,0,False,False,1,2025-08-11,True,False,,False,,False,8.869999885559082,True,90675369.65340137,59596749.811263084,WARN,single_retail_vendor_yfinance
AMAT,EQUITY,2024-01-02,2026-06-29,2024-01-01,2026-06-30,True,True,0,0.0,0,0.0,False,False,0,False,False,0,,True,False,,False,,False,694.6400146484375,False,6890715571.45813,4122900495.1270547,WARN,single_retail_vendor_yfinance
AMD,EQUITY,2024-01-02,2026-06-29,2024-01-01,2026-06-30,True,True,0,0.0,0,0.0,False,False,0,False,False,0,,True,False,,False,,False,539.489990234375,False,16344043567.793121,15037141330.212149,WARN,single_retail_vendor_yfinance
ANET,EQUITY,2024-01-02,2026-06-29,2024-01-01,2026-06-30,True,True,0,0.0,0,0.0,False,False,0,False,False,0,,True,False,,False,,False,164.10000610351562,False,1340786918.4659576,1485956006.4463425,WARN,single_retail_vendor_yfinance
APP,EQUITY,2024-01-02,2026-06-29,2024-01-01,2026-06-30,True,True,0,0.0,0,0.0,False,False,0,False,True,1,2024-11-07,True,False,,False,,False,498.760009765625,False,2672748012.6820374,2383722801.9285583,WARN,large_split_or_adjustment_jump
ARM,EQUITY,2024-01-02,2026-06-29,2024-01-01,2026-06-30,True,True,0,0.0,0,0.0,False,False,0,False,True,2,"2024-02-08,2024-02-12",True,False,,False,,False,343.5799865722656,False,4915899135.779419,3207944950.1415505,WARN,large_split_or_adjustment_jump
ASML,EQUITY,2024-01-02,2026-06-29,2024-01-01,2026-06-30,True,True,0,0.0,0,0.0,False,False,0,False,False,0,,True,False,,False,,False,1883.1099853515625,False,4017380138.581543,3045379231.796875,WARN,single_retail_vendor_yfinance
ASTS,EQUITY,,,2024-01-01,2026-06-30,False,False,0,1.0,0,1.0,False,False,0,False,False,0,,True,True,keyword_excluded:SPAC,False,no_price_data_after_download_or_not_attempted,False,,False,,,FAIL,no_ohlcv_downloaded;metadata_rejected:keyword_excluded:SPAC
AVAV,EQUITY,2024-01-02,2026-06-29,2024-01-01,2026-06-30,True,True,0,0.0,0,0.0,True,False,0,False,False,1,2024-03-05,True,False,,False,,False,139.0,False,242261634.33685303,232870567.79452005,WARN,abnormal_volume_spike
AVGO,EQUITY,2024-01-02,2026-06-29,2024-01-01,2026-06-30,True,True,0,0.0,0,0.0,False,False,0,False,False,0,,True,False,,False,,False,372.45001220703125,False,15082936540.379639,10613582599.777628,WARN,single_retail_vendor_yfinance
BA,EQUITY,2024-01-02,2026-06-29,2024-01-01,2026-06-30,True,True,0,0.0,0,0.0,False,False,0,False,False,0,,True,False,,False,,False,214.69000244140625,False,1376762656.607666,1460049337.1156056,WARN,single_retail_vendor_yfinance
BBAI,EQUITY,2024-01-02,2026-06-29,2024-01-01,2026-06-30,True,True,0,0.0,0,0.0,False,False,0,False,False,9,"2024-02-26,2024-02-27,2024-03-04,2024-03-08,2024-08-21",True,False,,False,,False,3.5999999046325684,True,160804078.98351312,162885912.27149805,WARN,single_retail_vendor_yfinance
BEAM,EQUITY,2024-01-02,2026-06-29,2024-01-01,2026-06-30,True,True,0,0.0,0,0.0,False,False,0,False,False,1,2024-02-27,True,False,,False,,False,34.95000076293945,True,77994053.61000061,66849800.43018659,WARN,single_retail_vendor_yfinance
BITF,,,,2024-01-01,2026-06-30,False,False,0,1.0,0,1.0,False,False,0,False,False,0,,True,True,metadata_incomplete,False,no_price_data_after_download_or_not_attempted,True,,False,,,FAIL,no_ohlcv_downloaded;metadata_rejected:metadata_incomplete
BWXT,EQUITY,2024-01-02,2026-06-29,2024-01-01,2026-06-30,True,True,0,0.0,0,0.0,False,False,0,False,False,0,,True,False,,False,,False,189.25,False,223910791.01707458,214416144.80433145,WARN,single_retail_vendor_yfinance
CAVA,EQUITY,2024-01-02,2026-06-29,2024-01-01,2026-06-30,True,True,0,0.0,0,0.0,False,False,0,False,False,1,2026-02-25,True,False,,False,,False,81.87000274658203,False,248288523.33301544,253681381.09236398,WARN,single_retail_vendor_yfinance
CCJ,EQUITY,2024-01-02,2026-06-29,2024-01-01,2026-06-30,True,True,0,0.0,0,0.0,False,False,0,False,False,0,,True,False,,False,,False,103.47000122070312,False,355194190.37158966,351351654.82622784,WARN,single_retail_vendor_yfinance
CEG,EQUITY,2024-01-02,2026-06-29,2024-01-01,2026-06-30,True,True,0,0.0,0,0.0,False,False,0,False,False,1,2025-01-10,True,False,,False,,False,259.32000732421875,False,1161014959.8841858,980920533.8568115,WARN,single_retail_vendor_yfinance
CELH,EQUITY,,,2024-01-01,2026-06-30,False,False,0,1.0,0,1.0,False,False,0,False,False,0,,True,True,exchange_excluded,False,no_price_data_after_download_or_not_attempted,False,,False,,,FAIL,no_ohlcv_downloaded;metadata_rejected:exchange_excluded
CLSK,EQUITY,,,2024-01-01,2026-06-30,False,False,0,1.0,0,1.0,False,False,0,False,False,0,,True,True,exchange_excluded,False,no_price_data_after_download_or_not_attempted,False,,False,,,FAIL,no_ohlcv_downloaded;metadata_rejected:exchange_excluded
COIN,EQUITY,2024-01-02,2026-06-29,2024-01-01,2026-06-30,True,True,0,0.0,0,0.0,False,False,0,False,False,1,2024-11-06,True,False,,False,,False,151.64999389648438,False,1406914193.1031036,1721509179.348882,WARN,single_retail_vendor_yfinance
CORZ,EQUITY,2024-02-21,2026-06-29,2024-01-01,2026-06-30,False,True,0,0.0,0,0.0,False,False,0,False,False,3,"2024-06-04,2025-01-27,2025-06-26",True,False,,False,,False,25.940000534057617,True,344957191.35676384,334263535.79023045,WARN,starts_after_requested_start_or_market_holiday
CRM,EQUITY,2024-01-02,2026-06-29,2024-01-01,2026-06-30,True,True,0,0.0,0,0.0,False,False,0,False,False,0,,True,False,,False,,False,157.92999267578125,False,3062274567.3526764,2688095661.905848,WARN,single_retail_vendor_yfinance
