universe_variant,strategy_name,sample_id,split_name,replay_rounds,universe_size,data_fail_excluded_count,metadata_excluded_count,liquidity_excluded_count,theme_balance_excluded_count,buy_count,no_trade_count,buy_rate,simulated_win_rate,accuracy_1d,accuracy_3d,accuracy_5d,accuracy_10d,accuracy_20d,average_forward_return_1d,average_forward_return_3d,average_forward_return_5d,average_forward_return_10d,average_forward_return_20d,median_forward_return_1d,median_forward_return_3d,median_forward_return_5d,median_forward_return_10d,median_forward_return_20d,average_win_dollars,average_loss_dollars,profit_factor,ending_account_value,max_drawdown,worst_trade_loss_percent,stopped_out_but_20d_positive_rate,top_profit_ticker_contribution_share,top_loss_ticker_contribution_share,top_profit_theme_contribution_share,top_loss_theme_contribution_share,median_ending_value_excluding_best_trade,executed_winner_count,executed_loser_count,winner_dollars,loser_dollars
current_watchlist_full,candidate34_frozen_baseline,0,calibration,100,98,19,19,0,0,34,66,0.34,0.4117647058823529,0.5588235294117647,0.5588235294117647,0.5,0.5294117647058824,0.5882352941176471,0.012077529700892806,0.02091358568073783,0.011029964591897952,0.06023112516511946,0.1361402319004378,0.0041340676531075315,0.022113971027487134,0.0044431309127573315,0.019700086571763475,0.0373048454897108,24.8418950955138,-13.408735015685199,1.296865554171819,179.61183102348932,-0.4586370161801102,-0.11661023735290654,0.20588235294117646,0.1635823527589106,0.1588440889014534,0.29850275654460573,0.21776756751505358,135.41860835089065,14,20,347.7865313371932,268.17470031370397
current_watchlist_full,candidate35_trend_quality_frozen,0,calibration,100,98,19,19,0,0,84,16,0.84,0.5813953488372093,0.5595238095238095,0.5833333333333334,0.5952380952380952,0.6666666666666666,0.6547619047619048,0.006084515642077644,0.0216309188932999,0.023128396948410953,0.04618657292628833,0.0743366478991394,0.004926058883230389,0.00990455548232927,0.014815321596543196,0.033173458263077715,0.04868643158000474,29.157768283680536,-15.735558250888927,2.573591590988708,545.7041585760127,-0.28277960325528995,-0.10175994349441488,0.16279069767441862,0.3107838254816585,0.41303409025554627,0.3107838254816585,0.41303409025554627,437.37275968619844,25,18,728.9442070920131,283.2400485160007
current_watchlist_full,candidate34_frozen_baseline,1,calibration,100,98,19,19,0,0,34,66,0.34,0.5882352941176471,0.5588235294117647,0.47058823529411764,0.4411764705882353,0.5294117647058824,0.5294117647058824,0.010069594772216132,0.015543160814883099,0.006974699390872343,0.0484511141895109,0.0486997614384683,0.004005177697950613,-0.0055708713924468856,-0.009539243483842053,0.012777806356990662,0.023112404792764996,26.387991915593865,-21.60849860034667,1.7445511604117858,325.24085790702384,-0.27041343768928716,-0.12586075789565754,0.11764705882352941,0.19190938498440832,0.19974460722719417,0.20033040392848325,0.47744471203853234,265.05674741268257,20,14,527.7598383118773,302.5189804048534
current_watchlist_full,candidate35_trend_quality_frozen,1,calibration,100,98,19,19,0,0,85,15,0.85,0.45652173913043476,0.6588235294117647,0.5764705882352941,0.5176470588235295,0.6470588235294118,0.611764705882353,0.009470988783758506,0.015404682245543982,0.010100501872369631,0.027190872658644897,0.06035349676341541,0.009537792615510243,0.008959577657868367,0.005659060045415831,0.03435719865776665,0.03446136029084523,20.996376370618155,-13.47145458032879,1.3092094878212324,204.1375392747615,-0.5263457287221436,-0.11947211064859317,0.17391304347826086,0.17671092207196062,0.23309120921757223,0.30539700715892004,0.4280856074649788,162.7984600854609,21,25,440.92390378298126,336.7863645082198
current_watchlist_full,candidate34_frozen_baseline,2,calibration,100,98,19,19,0,0,36,64,0.36,0.5,0.5555555555555556,0.5277777777777778,0.5555555555555556,0.5277777777777778,0.5833333333333334,0.008312947176022252,0.01886775163920456,0.03346422583214891,0.04852148606992139,0.1027666208962344,0.006738164486047471,0.006662449551914529,0.02191397406601736,0.058987050721309275,0.0350154524523959,25.519147666776,-15.127120671832355,1.6869798437117152,287.0564859089857,-0.3477461948143078,-0.13316100089941357,0.1111111111111111,0.22014244370258435,0.13771845060544005,0.330303897666811,0.33456294915754936,226.87237541464447,18,18,459.344658001968,272.2881720929824
current_watchlist_full,candidate35_trend_quality_frozen,2,calibration,100,98,19,19,0,0,88,12,0.88,0.5227272727272727,0.5227272727272727,0.5,0.5795454545454546,0.5340909090909091,0.6590909090909091,0.006314846344096645,0.010285709364046167,0.01652794187522041,0.010329995866230004,0.05423589269890142,0.0019247734127759708,0.00016943796686330614,0.01799543623933675,0.0073747239209680515,0.038005882493560406,16.544893989166127,-11.545765901033555,1.5694583047962545,238.07147782911642,-0.35601201629906165,-0.11471676693136879,0.18181818181818182,0.29565745224465073,0.1301133202701384,0.29565745224465073,0.49487028877320266,189.92418943364342,23,21,380.53256175082095,242.46108392170464
current_watchlist_full,candidate34_frozen_baseline,3,calibration,100,98,19,19,0,0,38,62,0.38,0.2894736842105263,0.4473684210526316,0.4473684210526316,0.3684210526315789,0.5,0.5263157894736842,-0.013087408814658072,-0.023018495072759514,-0.03236289066670219,-0.0046010911418593245,0.019835259700553894,-0.007188613169983871,-0.0034891290406629527,-0.023609069806441396,0.0004154878653255256,0.015183271452044456,11.483922784805303,-6.141799878672942,0.7617694000207793,60.494553908688914,-0.6149610537590146,-0.18734533759922542,0.2894736842105263,0.19323836058947738,0.13721225639586754,0.34712615972426786,0.29498882131464643,36.74845159169627,11,27,126.32315063285833,165.82859672416944
current_watchlist_full,candidate35_trend_quality_frozen,3,calibration,100,98,19,19,0,0,86,14,0.86,0.5348837209302325,0.5232558139534884,0.5465116279069767,0.6627906976744186,0.6046511627906976,0.6627906976744186,0.003010771962439961,0.0054001695637757,0.015808477877705153,0.0190865634757723,0.05244727348542164,0.0031900236721472686,0.005427961461408004,0.025749060599491336,0.028562717061910936,0.04673149874834848,21.887274370234962,-15.81520028419493,1.5915299884582843,287.1033048315056,-0.35365699500263215,-0.11825286567995343,0.23255813953488372,0.17644979398658167,0.170924649024924,0.29456657890107557,0.435395999421038,245.6708935373859,23,20,503.4073105154042,316.3040056838986
current_watchlist_full,candidate34_frozen_baseline,4,calibration,100,98,19,19,0,0,32,68,0.32,0.25806451612903225,0.375,0.3125,0.28125,0.375,0.4375,0.006419962940799696,-0.007813240394472773,-0.036528865140641575,-0.0455671702167659,-0.030344692376834587,-0.008848411583573745,-0.009499245392152744,-0.022656814586512142,-0.022357917669172722,-0.0383495269336937,12.166561508085053,-6.703085459184936,0.6313282900599683,43.161526503426906,-0.6413733246556532,-0.21276118318858184,0.1935483870967742,0.2417157963851533,0.39260173590049763,0.48175861555300586,0.39260173590049763,19.63472566986107,8,23,97.33249206468044,154.17096556125352
current_watchlist_full,candidate35_trend_quality_frozen,4,calibration,100,98,19,19,0,0,86,14,0.86,0.4166666666666667,0.4883720930232558,0.4883720930232558,0.5232558139534884,0.5348837209302325,0.6162790697674418,0.0015912857753900395,0.004389666731498879,0.007959341210873678,0.028189597083299944,0.07441456250631803,-0.0006764148100283918,-0.002405068835239721,0.011310394015228487,0.009924469549457804,0.032133869502148915,15.266398675870914,-9.554107367340388,1.1413489574170952,137.8129672318874,-0.45260855732053906,-0.11522148911811537,0.1875,0.1422651994030052,0.16520971236859353,0.3306909817953715,0.2982633590618394,106.41230246203355,20,28,305.3279735174183,267.51500628553083
