ticker,quarantine_status,quarantine_reason,source_evidence,suggested_action,earliest_safe_replay_date
AAPL,ALLOW_RESEARCH,clean_research_symbol,symbol_master=ACTIVE_LISTED_EQUITY;listing=MATCH;secondary=SOURCE_UNAVAILABLE,KEEP_WITH_WARNING,
ABNB,ALLOW_RESEARCH,clean_research_symbol,symbol_master=ACTIVE_LISTED_EQUITY;listing=MATCH;secondary=SOURCE_UNAVAILABLE,KEEP_WITH_WARNING,
ACHR,ALLOW_RESEARCH,clean_research_symbol,symbol_master=ACTIVE_LISTED_EQUITY;listing=MATCH;secondary=SOURCE_UNAVAILABLE,KEEP_WITH_WARNING,
ADBE,ALLOW_RESEARCH,clean_research_symbol,symbol_master=ACTIVE_LISTED_EQUITY;listing=MATCH;secondary=SOURCE_UNAVAILABLE,KEEP_WITH_WARNING,
AFRM,ALLOW_RESEARCH,clean_research_symbol,symbol_master=ACTIVE_LISTED_EQUITY;listing=MATCH;secondary=SOURCE_UNAVAILABLE,KEEP_WITH_WARNING,
AI,ALLOW_RESEARCH,clean_research_symbol,symbol_master=ACTIVE_LISTED_EQUITY;listing=MATCH;secondary=SOURCE_UNAVAILABLE,KEEP_WITH_WARNING,
AMAT,ALLOW_RESEARCH,clean_research_symbol,symbol_master=ACTIVE_LISTED_EQUITY;listing=MATCH;secondary=SOURCE_UNAVAILABLE,KEEP_WITH_WARNING,
AMD,ALLOW_RESEARCH,clean_research_symbol,symbol_master=ACTIVE_LISTED_EQUITY;listing=MATCH;secondary=SOURCE_UNAVAILABLE,KEEP_WITH_WARNING,
ANET,ALLOW_RESEARCH,clean_research_symbol,symbol_master=ACTIVE_LISTED_EQUITY;listing=MATCH;secondary=SOURCE_UNAVAILABLE,KEEP_WITH_WARNING,
APP,ALLOW_RESEARCH,clean_research_symbol,symbol_master=ACTIVE_LISTED_EQUITY;listing=MATCH;secondary=SOURCE_UNAVAILABLE,KEEP_WITH_WARNING,
ARM,ALLOW_RESEARCH,clean_research_symbol,symbol_master=ACTIVE_LISTED_EQUITY;listing=MATCH;secondary=SOURCE_UNAVAILABLE,KEEP_WITH_WARNING,
ASML,ALLOW_RESEARCH,clean_research_symbol,symbol_master=ACTIVE_LISTED_EQUITY;listing=MATCH;secondary=SOURCE_UNAVAILABLE,KEEP_WITH_WARNING,
ASTS,QUARANTINE,insufficient_factor_lookback;insufficient_forward_window,symbol_master=ACTIVE_LISTED_EQUITY;listing=WARN;secondary=SOURCE_UNAVAILABLE,MANUAL_REVIEW,
AVAV,ALLOW_RESEARCH,clean_research_symbol,symbol_master=ACTIVE_LISTED_EQUITY;listing=MATCH;secondary=SOURCE_UNAVAILABLE,KEEP_WITH_WARNING,
AVGO,ALLOW_RESEARCH,clean_research_symbol,symbol_master=ACTIVE_LISTED_EQUITY;listing=MATCH;secondary=SOURCE_UNAVAILABLE,KEEP_WITH_WARNING,
BA,ALLOW_RESEARCH,clean_research_symbol,symbol_master=ACTIVE_LISTED_EQUITY;listing=MATCH;secondary=SOURCE_UNAVAILABLE,KEEP_WITH_WARNING,
BBAI,ALLOW_RESEARCH,clean_research_symbol,symbol_master=ACTIVE_LISTED_EQUITY;listing=MATCH;secondary=SOURCE_UNAVAILABLE,KEEP_WITH_WARNING,
BEAM,ALLOW_RESEARCH,clean_research_symbol,symbol_master=ACTIVE_LISTED_EQUITY;listing=MATCH;secondary=SOURCE_UNAVAILABLE,KEEP_WITH_WARNING,
BITF,QUARANTINE,symbol_master_status:UNKNOWN;insufficient_factor_lookback;insufficient_forward_window,symbol_master=UNKNOWN;listing=WARN;secondary=SOURCE_UNAVAILABLE,DROP_FROM_RESEARCH,
BWXT,ALLOW_RESEARCH,clean_research_symbol,symbol_master=ACTIVE_LISTED_EQUITY;listing=MATCH;secondary=SOURCE_UNAVAILABLE,KEEP_WITH_WARNING,
CAVA,ALLOW_RESEARCH,clean_research_symbol,symbol_master=ACTIVE_LISTED_EQUITY;listing=MATCH;secondary=SOURCE_UNAVAILABLE,KEEP_WITH_WARNING,
CCJ,ALLOW_RESEARCH,clean_research_symbol,symbol_master=ACTIVE_LISTED_EQUITY;listing=MATCH;secondary=SOURCE_UNAVAILABLE,KEEP_WITH_WARNING,
CEG,ALLOW_RESEARCH,clean_research_symbol,symbol_master=ACTIVE_LISTED_EQUITY;listing=MATCH;secondary=SOURCE_UNAVAILABLE,KEEP_WITH_WARNING,
CELH,QUARANTINE,insufficient_factor_lookback;insufficient_forward_window,symbol_master=ACTIVE_LISTED_EQUITY;listing=WARN;secondary=SOURCE_UNAVAILABLE,MANUAL_REVIEW,
CLSK,QUARANTINE,insufficient_factor_lookback;insufficient_forward_window,symbol_master=ACTIVE_LISTED_EQUITY;listing=WARN;secondary=SOURCE_UNAVAILABLE,MANUAL_REVIEW,
COIN,ALLOW_RESEARCH,clean_research_symbol,symbol_master=ACTIVE_LISTED_EQUITY;listing=MATCH;secondary=SOURCE_UNAVAILABLE,KEEP_WITH_WARNING,
CORZ,ALLOW_RESEARCH,clean_research_symbol,symbol_master=ACTIVE_LISTED_EQUITY;listing=MATCH;secondary=SOURCE_UNAVAILABLE,KEEP_WITH_WARNING,
CRM,ALLOW_RESEARCH,clean_research_symbol,symbol_master=ACTIVE_LISTED_EQUITY;listing=MATCH;secondary=SOURCE_UNAVAILABLE,KEEP_WITH_WARNING,
CRSP,QUARANTINE,insufficient_factor_lookback;insufficient_forward_window,symbol_master=ACTIVE_LISTED_EQUITY;listing=WARN;secondary=SOURCE_UNAVAILABLE,MANUAL_REVIEW,
CRWD,ALLOW_RESEARCH,clean_research_symbol,symbol_master=ACTIVE_LISTED_EQUITY;listing=MATCH;secondary=SOURCE_UNAVAILABLE,KEEP_WITH_WARNING,
DASH,ALLOW_RESEARCH,clean_research_symbol,symbol_master=ACTIVE_LISTED_EQUITY;listing=MATCH;secondary=SOURCE_UNAVAILABLE,KEEP_WITH_WARNING,
