ticker,normalized_ticker,source_watchlist,source_watchlist_line_number,symbol_master_status,primary_exchange,listing_exchange,asset_type,security_name,is_etf,is_adr,is_spac_or_former_spac_if_detectable,is_recent_ipo_or_recent_listing,first_trade_date_from_ohlcv,last_trade_date_from_ohlcv,has_sufficient_factor_lookback,has_sufficient_forward_window,normalized_symbol_notes,validation_sources_used
AAPL,AAPL,True,1,ACTIVE_LISTED_EQUITY,NMS,NASDAQ,EQUITY,Apple Inc.,False,False,False,False,2024-01-02,2026-06-29,True,True,,nasdaq_trader_nasdaq
ABNB,ABNB,True,37,ACTIVE_LISTED_EQUITY,NMS,NASDAQ,EQUITY,"Airbnb, Inc.",False,False,False,False,2024-01-02,2026-06-29,True,True,,nasdaq_trader_nasdaq
ACHR,ACHR,True,86,ACTIVE_LISTED_EQUITY,NYQ,N,EQUITY,Archer Aviation Inc.,False,False,False,False,2024-01-02,2026-06-29,True,True,,nasdaq_trader_other
ADBE,ADBE,True,33,ACTIVE_LISTED_EQUITY,NMS,NASDAQ,EQUITY,Adobe Inc.,False,False,False,False,2024-01-02,2026-06-29,True,True,,nasdaq_trader_nasdaq
AFRM,AFRM,True,113,ACTIVE_LISTED_EQUITY,NMS,NASDAQ,EQUITY,"Affirm Holdings, Inc.",False,False,False,False,2024-01-02,2026-06-29,True,True,,nasdaq_trader_nasdaq
AI,AI,True,92,ACTIVE_LISTED_EQUITY,NYQ,N,EQUITY,"C3.ai, Inc.",False,False,False,False,2024-01-02,2026-06-29,True,True,,nasdaq_trader_other
AMAT,AMAT,True,8,ACTIVE_LISTED_EQUITY,NMS,NASDAQ,EQUITY,"Applied Materials, Inc.",False,False,False,False,2024-01-02,2026-06-29,True,True,,nasdaq_trader_nasdaq
AMD,AMD,True,4,ACTIVE_LISTED_EQUITY,NMS,NASDAQ,EQUITY,"Advanced Micro Devices, Inc.",False,False,False,False,2024-01-02,2026-06-29,True,True,,nasdaq_trader_nasdaq
ANET,ANET,True,19,ACTIVE_LISTED_EQUITY,NYQ,N,EQUITY,"Arista Networks, Inc.",False,False,False,False,2024-01-02,2026-06-29,True,True,,nasdaq_trader_other
APP,APP,True,41,ACTIVE_LISTED_EQUITY,NMS,NASDAQ,EQUITY,Applovin Corporation,False,False,False,False,2024-01-02,2026-06-29,True,True,,nasdaq_trader_nasdaq
ARM,ARM,True,13,ACTIVE_LISTED_EQUITY,NMS,NASDAQ,EQUITY,Arm Holdings plc,False,False,False,False,2024-01-02,2026-06-29,True,True,,nasdaq_trader_nasdaq
ASML,ASML,True,7,ACTIVE_LISTED_EQUITY,NMS,NASDAQ,EQUITY,ASML Holding N.V. - New York Re,False,False,False,False,2024-01-02,2026-06-29,True,True,,nasdaq_trader_nasdaq
ASTS,ASTS,True,117,ACTIVE_LISTED_EQUITY,NMS,NASDAQ,EQUITY,"AST SpaceMobile, Inc.",False,False,True,False,,,False,False,yfinance_metadata_rejected:keyword_excluded:SPAC,nasdaq_trader_nasdaq
AVAV,AVAV,True,85,ACTIVE_LISTED_EQUITY,NMS,NASDAQ,EQUITY,"AeroVironment, Inc.",False,False,False,False,2024-01-02,2026-06-29,True,True,,nasdaq_trader_nasdaq
AVGO,AVGO,True,5,ACTIVE_LISTED_EQUITY,NMS,NASDAQ,EQUITY,Broadcom Inc.,False,False,False,False,2024-01-02,2026-06-29,True,True,,nasdaq_trader_nasdaq
BA,BA,True,83,ACTIVE_LISTED_EQUITY,NYQ,N,EQUITY,Boeing Company (The),False,False,False,False,2024-01-02,2026-06-29,True,True,,nasdaq_trader_other
BBAI,BBAI,True,94,ACTIVE_LISTED_EQUITY,NYQ,N,EQUITY,"BigBear.ai, Inc.",False,False,False,False,2024-01-02,2026-06-29,True,True,,nasdaq_trader_other
BEAM,BEAM,True,99,ACTIVE_LISTED_EQUITY,NMS,NASDAQ,EQUITY,Beam Therapeutics Inc.,False,False,False,False,2024-01-02,2026-06-29,True,True,,nasdaq_trader_nasdaq
BITF,BITF,True,56,UNKNOWN,,,,,False,False,False,False,,,False,False,yfinance_metadata_rejected:metadata_incomplete;not_found_in_public_listing_directory,yfinance_metadata_only
BWXT,BWXT,True,74,ACTIVE_LISTED_EQUITY,NYQ,N,EQUITY,"BWX Technologies, Inc.",False,False,False,False,2024-01-02,2026-06-29,True,True,,nasdaq_trader_other
CAVA,CAVA,True,111,ACTIVE_LISTED_EQUITY,NYQ,N,EQUITY,"CAVA Group, Inc.",False,False,False,False,2024-01-02,2026-06-29,True,True,,nasdaq_trader_other
CCJ,CCJ,True,73,ACTIVE_LISTED_EQUITY,NYQ,N,EQUITY,Cameco Corporation,False,False,False,False,2024-01-02,2026-06-29,True,True,,nasdaq_trader_other
CEG,CEG,True,67,ACTIVE_LISTED_EQUITY,NMS,NASDAQ,EQUITY,Constellation Energy Corporatio,False,False,False,False,2024-01-02,2026-06-29,True,True,,nasdaq_trader_nasdaq
CELH,CELH,True,108,ACTIVE_LISTED_EQUITY,NCM,NASDAQ,EQUITY,"Celsius Holdings, Inc.",False,False,False,False,,,False,False,yfinance_metadata_rejected:exchange_excluded,nasdaq_trader_nasdaq
CLSK,CLSK,True,52,ACTIVE_LISTED_EQUITY,NCM,NASDAQ,EQUITY,"CleanSpark, Inc.",False,False,False,False,,,False,False,yfinance_metadata_rejected:exchange_excluded,nasdaq_trader_nasdaq
COIN,COIN,True,48,ACTIVE_LISTED_EQUITY,NMS,NASDAQ,EQUITY,"Coinbase Global, Inc.",False,False,False,False,2024-01-02,2026-06-29,True,True,,nasdaq_trader_nasdaq
CORZ,CORZ,True,54,ACTIVE_LISTED_EQUITY,NMS,NASDAQ,EQUITY,"Core Scientific, Inc.",False,False,False,False,2024-02-21,2026-06-29,True,True,,nasdaq_trader_nasdaq
CRM,CRM,True,34,ACTIVE_LISTED_EQUITY,NYQ,N,EQUITY,"Salesforce, Inc.",False,False,False,False,2024-01-02,2026-06-29,True,True,,nasdaq_trader_other
CRSP,CRSP,True,97,ACTIVE_LISTED_EQUITY,NGM,NASDAQ,EQUITY,CRISPR Therapeutics AG,False,False,False,False,,,False,False,yfinance_metadata_rejected:exchange_excluded,nasdaq_trader_nasdaq
CRWD,CRWD,True,24,ACTIVE_LISTED_EQUITY,NMS,NASDAQ,EQUITY,"CrowdStrike Holdings, Inc.",False,False,False,False,2024-01-02,2026-06-29,True,True,,nasdaq_trader_nasdaq
DASH,DASH,True,38,ACTIVE_LISTED_EQUITY,NMS,NASDAQ,EQUITY,"DoorDash, Inc.",False,False,False,False,2024-01-02,2026-06-29,True,True,,nasdaq_trader_nasdaq
DDOG,DDOG,True,22,ACTIVE_LISTED_EQUITY,NMS,NASDAQ,EQUITY,"Datadog, Inc.",False,False,False,False,2024-01-02,2026-06-29,True,True,,nasdaq_trader_nasdaq
DELL,DELL,True,17,ACTIVE_LISTED_EQUITY,NYQ,N,EQUITY,Dell Technologies Inc.,False,False,False,False,2024-01-02,2026-06-29,True,True,,nasdaq_trader_other
DNA,DNA,True,101,ACTIVE_LISTED_EQUITY,NYQ,N,EQUITY,"Ginkgo Bioworks Holdings, Inc.",False,False,False,False,2024-01-02,2026-06-29,True,True,,nasdaq_trader_other
DUOL,DUOL,True,110,ACTIVE_LISTED_EQUITY,NMS,NASDAQ,EQUITY,"Duolingo, Inc.",False,False,False,False,2024-01-02,2026-06-29,True,True,,nasdaq_trader_nasdaq
EDIT,EDIT,True,98,ACTIVE_LISTED_EQUITY,NMS,NASDAQ,EQUITY,"Editas Medicine, Inc.",False,False,False,False,2024-01-02,2026-06-29,True,True,,nasdaq_trader_nasdaq
ELF,ELF,True,109,ACTIVE_LISTED_EQUITY,NYQ,N,EQUITY,"e.l.f. Beauty, Inc.",False,False,False,False,2024-01-02,2026-06-29,True,True,,nasdaq_trader_other
ESTC,ESTC,True,29,ACTIVE_LISTED_EQUITY,NYQ,N,EQUITY,Elastic N.V.,False,False,False,False,2024-01-02,2026-06-29,True,True,,nasdaq_trader_other
ETN,ETN,True,75,ACTIVE_LISTED_EQUITY,NYQ,N,EQUITY,"Eaton Corporation, PLC",False,False,False,False,2024-01-02,2026-06-29,True,True,,nasdaq_trader_other
F,F,True,64,ACTIVE_LISTED_EQUITY,NYQ,N,EQUITY,Ford Motor Company,False,False,False,False,2024-01-02,2026-06-29,True,True,,nasdaq_trader_other
GD,GD,True,82,ACTIVE_LISTED_EQUITY,NYQ,N,EQUITY,General Dynamics Corporation,False,False,False,False,2024-01-02,2026-06-29,True,True,,nasdaq_trader_other
GEV,GEV,True,65,ACTIVE_LISTED_EQUITY,NYQ,N,EQUITY,GE Vernova Inc.,False,False,False,True,2024-04-24,2026-06-29,False,True,,nasdaq_trader_other
GM,GM,True,63,ACTIVE_LISTED_EQUITY,NYQ,N,EQUITY,General Motors Company,False,False,False,False,2024-01-02,2026-06-29,True,True,,nasdaq_trader_other
HOOD,HOOD,True,47,ACTIVE_LISTED_EQUITY,NMS,NASDAQ,EQUITY,"Robinhood Markets, Inc.",False,False,False,False,2024-01-02,2026-06-29,True,True,,nasdaq_trader_nasdaq
HPE,HPE,True,18,ACTIVE_LISTED_EQUITY,NYQ,N,EQUITY,Hewlett Packard Enterprise Comp,False,False,False,False,2024-01-02,2026-06-29,True,True,,nasdaq_trader_other
HUT,HUT,True,55,ACTIVE_LISTED_EQUITY,NMS,NASDAQ,EQUITY,Hut 8 Corp.,False,False,False,False,2024-01-02,2026-06-29,True,True,,nasdaq_trader_nasdaq
INTC,INTC,True,14,ACTIVE_LISTED_EQUITY,NMS,NASDAQ,EQUITY,Intel Corporation,False,False,False,False,2024-01-02,2026-06-29,True,True,,nasdaq_trader_nasdaq
IOVA,IOVA,True,105,ACTIVE_LISTED_EQUITY,NGM,NASDAQ,EQUITY,"Iovance Biotherapeutics, Inc.",False,False,False,False,,,False,False,yfinance_metadata_rejected:exchange_excluded,nasdaq_trader_nasdaq
IREN,IREN,True,53,ACTIVE_LISTED_EQUITY,NMS,NASDAQ,EQUITY,IREN LIMITED,False,False,False,False,2024-01-02,2026-06-29,True,True,,nasdaq_trader_nasdaq
