original_watchlist_ticker,canonical_current_ticker,historical_ticker,effective_start_date,effective_end_date,alias_status,replay_handling,evidence_source,evidence_notes
AAPL,AAPL,AAPL,,,UNCHANGED,USE_AS_IS,phase1j_symbol_master,Phase 1J status ACTIVE_LISTED_EQUITY.
ABNB,ABNB,ABNB,,,UNCHANGED,USE_AS_IS,phase1j_symbol_master,Phase 1J status ACTIVE_LISTED_EQUITY.
ACHR,ACHR,ACHR,,,UNCHANGED,USE_AS_IS,phase1j_symbol_master,Phase 1J status ACTIVE_LISTED_EQUITY.
ADBE,ADBE,ADBE,,,UNCHANGED,USE_AS_IS,phase1j_symbol_master,Phase 1J status ACTIVE_LISTED_EQUITY.
AFRM,AFRM,AFRM,,,UNCHANGED,USE_AS_IS,phase1j_symbol_master,Phase 1J status ACTIVE_LISTED_EQUITY.
AI,AI,AI,,,UNCHANGED,USE_AS_IS,phase1j_symbol_master,Phase 1J status ACTIVE_LISTED_EQUITY.
AMAT,AMAT,AMAT,,,UNCHANGED,USE_AS_IS,phase1j_symbol_master,Phase 1J status ACTIVE_LISTED_EQUITY.
AMD,AMD,AMD,,,UNCHANGED,USE_AS_IS,phase1j_symbol_master,Phase 1J status ACTIVE_LISTED_EQUITY.
ANET,ANET,ANET,,,UNCHANGED,USE_AS_IS,phase1j_symbol_master,Phase 1J status ACTIVE_LISTED_EQUITY.
APP,APP,APP,,,UNCHANGED,USE_AS_IS,phase1j_symbol_master,Phase 1J status ACTIVE_LISTED_EQUITY.
ARM,ARM,ARM,,,UNCHANGED,USE_AS_IS,phase1j_symbol_master,Phase 1J status ACTIVE_LISTED_EQUITY.
ASML,ASML,ASML,,,UNCHANGED,USE_AS_IS,phase1j_symbol_master,Phase 1J status ACTIVE_LISTED_EQUITY.
ASTS,ASTS,ASTS,,,UNCHANGED,USE_AS_IS,phase1j_symbol_master,Phase 1J status ACTIVE_LISTED_EQUITY.
AVAV,AVAV,AVAV,,,UNCHANGED,USE_AS_IS,phase1j_symbol_master,Phase 1J status ACTIVE_LISTED_EQUITY.
AVGO,AVGO,AVGO,,,UNCHANGED,USE_AS_IS,phase1j_symbol_master,Phase 1J status ACTIVE_LISTED_EQUITY.
BA,BA,BA,,,UNCHANGED,USE_AS_IS,phase1j_symbol_master,Phase 1J status ACTIVE_LISTED_EQUITY.
BBAI,BBAI,BBAI,,,UNCHANGED,USE_AS_IS,phase1j_symbol_master,Phase 1J status ACTIVE_LISTED_EQUITY.
BEAM,BEAM,BEAM,,,UNCHANGED,USE_AS_IS,phase1j_symbol_master,Phase 1J status ACTIVE_LISTED_EQUITY.
BITF,BITF,BITF,,,UNKNOWN,MANUAL_REVIEW,phase1j_symbol_master,Phase 1J could not resolve active listing/status.
BWXT,BWXT,BWXT,,,UNCHANGED,USE_AS_IS,phase1j_symbol_master,Phase 1J status ACTIVE_LISTED_EQUITY.
CAVA,CAVA,CAVA,,,UNCHANGED,USE_AS_IS,phase1j_symbol_master,Phase 1J status ACTIVE_LISTED_EQUITY.
CCJ,CCJ,CCJ,,,UNCHANGED,USE_AS_IS,phase1j_symbol_master,Phase 1J status ACTIVE_LISTED_EQUITY.
CEG,CEG,CEG,,,UNCHANGED,USE_AS_IS,phase1j_symbol_master,Phase 1J status ACTIVE_LISTED_EQUITY.
CELH,CELH,CELH,,,UNCHANGED,USE_AS_IS,phase1j_symbol_master,Phase 1J status ACTIVE_LISTED_EQUITY.
CLSK,CLSK,CLSK,,,UNCHANGED,USE_AS_IS,phase1j_symbol_master,Phase 1J status ACTIVE_LISTED_EQUITY.
COIN,COIN,COIN,,,UNCHANGED,USE_AS_IS,phase1j_symbol_master,Phase 1J status ACTIVE_LISTED_EQUITY.
CORZ,CORZ,CORZ,,,UNCHANGED,USE_AS_IS,phase1j_symbol_master,Phase 1J status ACTIVE_LISTED_EQUITY.
CRM,CRM,CRM,,,UNCHANGED,USE_AS_IS,phase1j_symbol_master,Phase 1J status ACTIVE_LISTED_EQUITY.
CRSP,CRSP,CRSP,,,UNCHANGED,USE_AS_IS,phase1j_symbol_master,Phase 1J status ACTIVE_LISTED_EQUITY.
CRWD,CRWD,CRWD,,,UNCHANGED,USE_AS_IS,phase1j_symbol_master,Phase 1J status ACTIVE_LISTED_EQUITY.
DASH,DASH,DASH,,,UNCHANGED,USE_AS_IS,phase1j_symbol_master,Phase 1J status ACTIVE_LISTED_EQUITY.
DDOG,DDOG,DDOG,,,UNCHANGED,USE_AS_IS,phase1j_symbol_master,Phase 1J status ACTIVE_LISTED_EQUITY.
DELL,DELL,DELL,,,UNCHANGED,USE_AS_IS,phase1j_symbol_master,Phase 1J status ACTIVE_LISTED_EQUITY.
DNA,DNA,DNA,,,UNCHANGED,USE_AS_IS,phase1j_symbol_master,Phase 1J status ACTIVE_LISTED_EQUITY.
DUOL,DUOL,DUOL,,,UNCHANGED,USE_AS_IS,phase1j_symbol_master,Phase 1J status ACTIVE_LISTED_EQUITY.
EDIT,EDIT,EDIT,,,UNCHANGED,USE_AS_IS,phase1j_symbol_master,Phase 1J status ACTIVE_LISTED_EQUITY.
ELF,ELF,ELF,,,UNCHANGED,USE_AS_IS,phase1j_symbol_master,Phase 1J status ACTIVE_LISTED_EQUITY.
ESTC,ESTC,ESTC,,,UNCHANGED,USE_AS_IS,phase1j_symbol_master,Phase 1J status ACTIVE_LISTED_EQUITY.
ETN,ETN,ETN,,,UNCHANGED,USE_AS_IS,phase1j_symbol_master,Phase 1J status ACTIVE_LISTED_EQUITY.
F,F,F,,,UNCHANGED,USE_AS_IS,phase1j_symbol_master,Phase 1J status ACTIVE_LISTED_EQUITY.
GD,GD,GD,,,UNCHANGED,USE_AS_IS,phase1j_symbol_master,Phase 1J status ACTIVE_LISTED_EQUITY.
GEV,GEV,GEV,,,UNCHANGED,USE_AS_IS,phase1j_symbol_master,Phase 1J status ACTIVE_LISTED_EQUITY.
GM,GM,GM,,,UNCHANGED,USE_AS_IS,phase1j_symbol_master,Phase 1J status ACTIVE_LISTED_EQUITY.
HOOD,HOOD,HOOD,,,UNCHANGED,USE_AS_IS,phase1j_symbol_master,Phase 1J status ACTIVE_LISTED_EQUITY.
HPE,HPE,HPE,,,UNCHANGED,USE_AS_IS,phase1j_symbol_master,Phase 1J status ACTIVE_LISTED_EQUITY.
HUT,HUT,HUT,,,UNCHANGED,USE_AS_IS,phase1j_symbol_master,Phase 1J status ACTIVE_LISTED_EQUITY.
INTC,INTC,INTC,,,UNCHANGED,USE_AS_IS,phase1j_symbol_master,Phase 1J status ACTIVE_LISTED_EQUITY.
IOVA,IOVA,IOVA,,,UNCHANGED,USE_AS_IS,phase1j_symbol_master,Phase 1J status ACTIVE_LISTED_EQUITY.
IREN,IREN,IREN,,,UNCHANGED,USE_AS_IS,phase1j_symbol_master,Phase 1J status ACTIVE_LISTED_EQUITY.
ISRG,ISRG,ISRG,,,UNCHANGED,USE_AS_IS,phase1j_symbol_master,Phase 1J status ACTIVE_LISTED_EQUITY.
JOBY,JOBY,JOBY,,,UNCHANGED,USE_AS_IS,phase1j_symbol_master,Phase 1J status ACTIVE_LISTED_EQUITY.
KLAC,KLAC,KLAC,,,UNCHANGED,USE_AS_IS,phase1j_symbol_master,Phase 1J status ACTIVE_LISTED_EQUITY.
KTOS,KTOS,KTOS,,,UNCHANGED,USE_AS_IS,phase1j_symbol_master,Phase 1J status ACTIVE_LISTED_EQUITY.
LCID,LCID,LCID,,,UNCHANGED,USE_AS_IS,phase1j_symbol_master,Phase 1J status ACTIVE_LISTED_EQUITY.
LEU,LEU,LEU,,,UNCHANGED,USE_AS_IS,phase1j_symbol_master,Phase 1J status ACTIVE_LISTED_EQUITY.
LI,LI,LI,,,UNCHANGED,USE_AS_IS,phase1j_symbol_master,Phase 1J status ACTIVE_LISTED_EQUITY.
LMT,LMT,LMT,,,UNCHANGED,USE_AS_IS,phase1j_symbol_master,Phase 1J status ACTIVE_LISTED_EQUITY.
LRCX,LRCX,LRCX,,,UNCHANGED,USE_AS_IS,phase1j_symbol_master,Phase 1J status ACTIVE_LISTED_EQUITY.
MARA,MARA,MARA,,,UNCHANGED,USE_AS_IS,phase1j_symbol_master,Phase 1J status ACTIVE_LISTED_EQUITY.
MDB,MDB,MDB,,,UNCHANGED,USE_AS_IS,phase1j_symbol_master,Phase 1J status ACTIVE_LISTED_EQUITY.
MIRM,MIRM,MIRM,,,UNCHANGED,USE_AS_IS,phase1j_symbol_master,Phase 1J status ACTIVE_LISTED_EQUITY.
