ticker,canonical_current_ticker,is_trade_candidate,is_proxy_only,covered_by_any_independent_vendor,best_independent_vendor,best_validation_status,has_required_window_coverage,coverage_start_date,coverage_end_date,coverage_reason
AAPL,AAPL,True,False,False,,CREDENTIAL_MISSING,False,,,No credentialed independent vendor passed smoke.
ABNB,ABNB,True,False,False,,CREDENTIAL_MISSING,False,,,No credentialed independent vendor passed smoke.
ACHR,ACHR,True,False,False,,CREDENTIAL_MISSING,False,,,No credentialed independent vendor passed smoke.
ADBE,ADBE,True,False,False,,CREDENTIAL_MISSING,False,,,No credentialed independent vendor passed smoke.
AFRM,AFRM,True,False,False,,CREDENTIAL_MISSING,False,,,No credentialed independent vendor passed smoke.
AI,AI,True,False,False,,CREDENTIAL_MISSING,False,,,No credentialed independent vendor passed smoke.
AMAT,AMAT,True,False,False,,CREDENTIAL_MISSING,False,,,No credentialed independent vendor passed smoke.
AMD,AMD,True,False,False,,CREDENTIAL_MISSING,False,,,No credentialed independent vendor passed smoke.
ANET,ANET,True,False,False,,CREDENTIAL_MISSING,False,,,No credentialed independent vendor passed smoke.
APP,APP,True,False,False,,CREDENTIAL_MISSING,False,,,No credentialed independent vendor passed smoke.
ARM,ARM,True,False,False,,CREDENTIAL_MISSING,False,,,No credentialed independent vendor passed smoke.
ASML,ASML,True,False,False,,CREDENTIAL_MISSING,False,,,No credentialed independent vendor passed smoke.
AVAV,AVAV,True,False,False,,CREDENTIAL_MISSING,False,,,No credentialed independent vendor passed smoke.
AVGO,AVGO,True,False,False,,CREDENTIAL_MISSING,False,,,No credentialed independent vendor passed smoke.
BA,BA,True,False,False,,CREDENTIAL_MISSING,False,,,No credentialed independent vendor passed smoke.
BBAI,BBAI,True,False,False,,CREDENTIAL_MISSING,False,,,No credentialed independent vendor passed smoke.
BEAM,BEAM,True,False,False,,CREDENTIAL_MISSING,False,,,No credentialed independent vendor passed smoke.
BWXT,BWXT,True,False,False,,CREDENTIAL_MISSING,False,,,No credentialed independent vendor passed smoke.
CAVA,CAVA,True,False,False,,CREDENTIAL_MISSING,False,,,No credentialed independent vendor passed smoke.
CCJ,CCJ,True,False,False,,CREDENTIAL_MISSING,False,,,No credentialed independent vendor passed smoke.
CEG,CEG,True,False,False,,CREDENTIAL_MISSING,False,,,No credentialed independent vendor passed smoke.
COIN,COIN,True,False,False,,CREDENTIAL_MISSING,False,,,No credentialed independent vendor passed smoke.
CORZ,CORZ,True,False,False,,CREDENTIAL_MISSING,False,,,No credentialed independent vendor passed smoke.
CRM,CRM,True,False,False,,CREDENTIAL_MISSING,False,,,No credentialed independent vendor passed smoke.
CRWD,CRWD,True,False,False,,CREDENTIAL_MISSING,False,,,No credentialed independent vendor passed smoke.
DASH,DASH,True,False,False,,CREDENTIAL_MISSING,False,,,No credentialed independent vendor passed smoke.
DDOG,DDOG,True,False,False,,CREDENTIAL_MISSING,False,,,No credentialed independent vendor passed smoke.
